"","logSFR_total","ID","logM_total","M_total","sSFR","logSFR_pred","logSFR_pred_sigma","t_sf_up","t_sf_sigma_up","tau_up","tau_sigma_up","A_up","A_sigma_up","x_up","x_sigma_up","diff","flag"
"11",-2.18400001525879,11,8.38920021057129,245019252.487671,2.67177433781371e-11,-2.1627498,0.101829186816076,10.7265622678788,2.1974043290129,2.41064375636364,0.692596061509155,339975481.636364,10542501.7301823,4.58274947151515,0.52977527667215,0.0212502152587892,"Keep"
"12",-3.743,12,8.30381385238372,201286131.086173,8.97813533530165e-13,-3.73015315121212,0.0998347183965947,11.8389961090909,1.22792413209439,1.28630568,0.154869201600649,261930174.545455,2010220.33582343,9.22637878363636,0.313161401246657,0.0128468487878788,"Keep"
"13",-1.26699995994568,13,9.18669986724854,1537092017.77081,3.51803513756302e-11,-1.24174746915152,0.101368333472272,10.720628359697,2.22957431931807,2.71034795060606,0.833144716075731,2205215777.57576,107826415.105194,4.1092088969697,0.560350910074973,0.0252524907941636,"Keep"
"14",-3.28238453795541,14,6.51381385238372,3264478.79853868,1.59882750036118e-10,-3.26527687212121,0.0854936252781995,10.5548504887879,2.06731488814908,11.5139371712121,4.92893452730676,18917669.5766667,9882645.34334813,1.11281741993939,0.520775312547335,0.0171076658342018,"Keep"
"15",-2.33851383344551,15,7.09381385238372,12411202.2371769,3.69549240602228e-10,-2.3535666469697,0.0991938399930004,5.96826626424242,1.38218306427456,11.8475769215152,5.05754639379171,197457182.239394,133464248.544536,0.633179585757576,0.367843090403626,-0.0150528135241839,"Keep"
"16",-1.4190000295639,16,9.59720039367676,3955490936.10461,9.63384327277973e-12,-1.40322041118182,0.101012899528425,10.9253027621212,1.94021078772999,1.80344327363636,0.40332406299893,5228471340,51327239.2891888,6.1338628869697,0.428192703662241,0.0157796183820855,"Keep"
"17",-2.54488237564085,17,6.95381385238372,8991121.20837412,3.17178522683656e-10,-2.55889363848485,0.0992796726844034,6.76381758606061,1.54825759141181,11.9748448287879,5.03234061858576,117305782.821212,76702361.1511305,0.699297668424242,0.382749696591855,-0.014011262843999,"Keep"
"18",0.321000009775162,18,10.4057998657227,25456568768.5041,8.22621666741038e-11,0.373040523638182,0.105605885410135,11.0808068372727,2.2235330952249,5.60273937727273,2.9333800818413,57275338669.697,25364306677.1314,2.32157351169697,0.729561546852634,0.0520405138630201,"Keep"
"19",-2.042,19,7.67381385238372,47186074.8616468,1.92391618256018e-10,-2.04280174909091,0.0909935549746793,9.70229099515151,2.04527516932921,12.0236788909091,4.9690643262476,333857181.618182,180908684.248605,0.972745069242424,0.464714246629187,-0.000801749090909354,"Keep"
"20",-2.13269622264987,20,7.47381385238372,29772400.4911483,2.47451405535136e-10,-2.14431481818182,0.0980515938258977,8.21207193939394,1.87833136038537,12.0972931690909,5.02438743924834,281016168.29697,167024184.669076,0.827596244181818,0.425637091168269,-0.0116185955319463,"Keep"
