Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,SFR_UNGC,logSFR_UNGC,SFR_UNGC_Gyr,logSFR_UNGC_Gyr,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation,merge_D,merge_V,merge_T,merge_logKLum,merge_Kmag,merge_Bmag,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,M_ratio,logM_ratio,ID,gr,bv,bu,MB,MR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726416,2MASXJ08035760+3121159,2MASX J08035760+3121159,,,08035760+3121159,1237657776610410874,-,120.989953,31.354439,0,0.12,0.065,15.9,H,1,,,58.91,54.9,21.9,102.0,24.83,0,0,3.0504,1.3863,1.9363,4.8054,1.2291,7.5702,Z,20.65,18.76,,,0.134,0.5,,,0.174,,,,,,0,0,0,0,15.042354,14.902552,12.378653,,0.019204,0.055838,0.418762,,0,0,15.155,14.596,14.173,0.183,0.22,0.246,2,21.355,18.961,17.997,17.621,17.522,0.118,0.009,0.007,0.007,0.017,,,,,,6.6155,0.957,,,,,,,,6.5964,,,,,-1,-1,?,?,,3.0504,54.9,,6.615499973297119,14.17300033569336,18.760000228881836,,,6.596399784088135,3948205.8175063296,,,,,2358,0.9640007,,-1.8899994,-8.661783732446235,-13.279000811386524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726664,2MASXJ08053591+3715042,2MASX J08053591+3715042,,,08053591+3715042,1237654626789884076,-,121.399614,37.251164,0,0.078,0.064,63.8,H,1,,,35.13,4.8,14.7,82.7,18.79,0,0,2.8459,1.2675,1.8231,4.4426,1.1678,6.9352,Z,21.745,19.378,,,0.186,0.5,,,0.241,,,,,,0,0,0,0,14.08402,13.851243,12.725884,9.341518,0.007847,0.021435,0.564085,0.640549,0,0,15.101,14.407,13.776,0.162,0.221,0.182,2,21.853,19.179,17.734,17.139,16.777,0.171,0.011,0.006,0.006,0.012,,,,,,6.714,,,,,,,,,6.6288,,,,,-1,-1,?,?,,2.8459,4.8,,6.714000225067139,13.776000022888184,19.378000259399414,,,6.628799915313721,4254023.79991717,,,,,2359,1.4450016,,-2.3670006,-7.893097918900594,-13.510034176773118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727642,2MASXJ08115779+1618298,2MASX J08115779+1618298,,,08115779+1618298,1237667107961897100,-,122.990782,16.308259,0,0.244,0.213,103.3,H,1,,,29.99,-21.0,15.0,-49.1,18.81,0,0,1.3161,0.5575,0.8616,2.0102,0.5641,3.0705,Z,18.658,16.876,,,0.064,0.5,,,0.229,,,,,,0,0,0,0,12.445853,12.426746,9.464714,7.07408,0.003883,0.011934,0.04784,0.113823,0,0,14.117,13.178,12.755,0.125,0.138,0.149,2,18.31,16.548,15.582,15.093,14.669,0.042,0.005,0.004,0.004,0.009,,,,38.4289,38.4978,6.4526,,,,,-3.452,-3.513,-3.464,W3,6.3674,,,,,-1,-1,?,?,,1.3161,-21.0,,6.452600002288818,12.755000114440918,16.875999450683594,-3.4639999866485596,3.435579584618176E-4,6.367400169372559,2330237.405502591,1.474347453399145E-10,-9.831400156021118,,,2360,0.96600056,,-1.7820015,-8.720444994939445,-15.381116190483931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730068,2MASXJ08244812+1847352,2MASX J08244812+1847352,,,08244812+1847352,1237667109037343023,-,126.200475,18.793321,0,0.247,0.151,54.8,H,1,,,53.37,73.7,19.5,64.1,22.7,0,0,2.6257,1.1675,1.6831,4.0959,1.079,6.3896,Z,18.497,17.284,,,0.023,0.5,,,0.249,,,,,,0,0,0,0,13.473903,13.305554,10.300648,8.956017,0.006275,0.019551,0.080247,0.535072,0,0,14.526,14.028,13.581,0.087,0.143,0.137,2,18.502,17.012,16.332,16.002,15.766,0.021,0.005,0.004,0.004,0.008,,,,38.6945,,6.7221,0.841,,,,-3.216,,-3.227,W3,6.647,,,,,-1,-1,?,?,,2.6257,73.7,,6.722099781036377,13.581000328063965,17.284000396728516,-3.2269999980926514,5.929253271840286E-4,6.646999835968018,4436084.763815451,1.3365960272455588E-10,-9.873999834060669,,,2361,0.6799984,,-1.2129993,-9.812225124096383,-14.733196221214374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730351,2MASXJ08263378+2801154,2MASX J08263378+2801154,,,08263378+2801154,1237660962397552982,-,126.640813,28.020948,0,0.123,0.123,90.0,2,1,,,,-113.9,19.8,-75.1,23.1,0,0,1.192,0.4948,0.7871,1.8053,0.5197,2.7341,Z,18.866,17.712,,,0.028,0.5,,,0.146,,,,,,0,0,0,0,14.160259,13.978006,13.32644,11.437223,0.008632,0.024588,0.901992,4.755711,0,0,15.338,14.415,14.262,0.149,0.152,0.233,2,18.895,17.461,16.813,16.546,16.359,0.025,0.005,0.004,0.004,0.01,,,,,,5.7638,0.829,,,,,,,,5.6824,,,,,-1,-1,?,?,,1.192,-113.9,,5.763800144195557,14.26200008392334,17.711999893188477,,,5.682400226593018,481282.6729766292,,,,,2362,0.6480007,,-1.1539993,-7.6693813838326115,-14.315226304062161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730819,2MASXJ08291264+5429469,2MASX J08291264+5429469,,,08291264+5429469,1237663529723363505,-,127.302474,54.496108,0,0.171,0.041,136.2,H,1,,,80.7,3.9,8.7,170.4,14.26,0,0,3.6645,1.663,2.3277,5.769,1.4786,9.0821,Z,20.289,19.483,,,0.147,0.5,,,0.182,,,,,,0,0,0,0,13.698404,13.511466,10.554071,9.121156,0.005664,0.016588,0.073387,0.464182,0,0,15.177,14.361,13.717,0.134,0.15,0.143,2,21.626,18.553,17.358,16.596,16.087,0.351,0.011,0.007,0.006,0.012,,,,38.8827,,6.9572,1.063,,,,-3.048,,-3.06,W3,6.9836,,,,,-1,-1,?,?,,3.6645,3.9,,6.957200050354004,13.717000007629395,19.482999801635742,-3.059999942779541,8.70963704709875E-4,6.98360013961792,9629420.225401692,9.044819774427724E-11,-10.043600082397461,,,2363,1.1949997,,-0.80599976,-8.337073828509848,-13.839498593707175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730891,2MASXJ08293978+4223525,2MASX J08293978+4223525,,,08293978+4223525,1237673309359243345,-,127.415808,42.39804,0,0.094,0.069,152.2,H,1,,,43.45,-54.0,18.6,57.7,22.05,0,0,2.5436,1.1323,1.6297,3.9698,1.0442,6.1958,Z,19.613,18.244,,,0.035,0.5,,,0.147,,,,,,0,0,0,0,14.363102,14.241675,10.839098,8.083037,0.009087,0.027524,0.082117,0.167,0,0,15.406,15.196,14.138,0.193,0.0,0.254,2,19.638,17.997,17.3,17.012,16.82,0.036,0.006,0.005,0.005,0.011,,,,38.4515,38.6666,6.4717,,,,,-3.432,-3.358,-3.443,W3,6.3865,,,,,-1,-1,?,?,,2.5436,-54.0,,6.471700191497803,14.137999534606934,18.243999481201172,-3.443000078201294,3.605785780940067E-4,6.386499881744385,2435005.1369155785,1.4808123918405843E-10,-9.829499959945679,,,2364,0.6970005,,-1.3690014,-8.783244600356706,-13.890231182820308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3731008,2MASXJ08303035+2911218,2MASX J08303035+2911218,,,08303035+2911218,1237660962935013655,-,127.626471,29.189368,0,0.08,0.08,0.0,H,2,,,40.22,13.0,,59.5,,0,0,2.5666,1.1413,1.6453,4.0039,1.0547,6.2459,Z,21.499,19.201,,,0.183,0.5,,,0.166,,,,,,0,0,0,0,14.057994,13.906205,12.623217,,0.007344,0.021305,0.442599,,0,0,15.162,14.286,13.937,0.133,0.141,0.18,2,21.618,18.913,17.594,17.08,16.782,0.183,0.011,0.006,0.006,0.011,,,,,,6.5599,1.124,,,,,,,,6.6108,,,,,-1,-1,?,?,,2.5666,13.0,,6.559899806976318,13.937000274658203,19.201000213623047,,,6.610799789428711,4081311.9371112282,,,,,2365,1.3190002,,-2.2980003,-7.84579073602778,-13.632823058553598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3732974,2MASXJ08413012+4219198,2MASX J08413012+4219198,,,08413012+4219198,1237657608037794089,-,130.375495,42.322139,0,0.088,0.064,162.0,H,1,,,43.78,-6.0,33.3,109.7,35.39,0,0,3.1261,1.4178,1.9863,4.9201,1.262,7.7437,Z,21.985,19.496,,,0.496,0.5,,,0.106,,,,,,0,0,0,0,13.384527,13.243417,13.495481,,0.004465,0.012747,1.058534,,0,0,14.919,14.468,13.678,0.13,0.243,0.162,2,22.025,19.235,17.689,16.812,16.229,0.423,0.017,0.007,0.005,0.011,,,,,,6.8348,1.246,,,,,,,,6.9304,,,,,-1,-1,?,?,,3.1261,-6.0,,6.834799766540527,13.678000450134277,19.496000289916992,,,6.9303998947143555,8519221.19897762,,,,,2366,1.5460014,,-2.4890003,-7.97901404227613,-13.549517132495703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736190,2MASXJ08583753-0039583,2MASX J08583753-0039583,,,08583753-0039583,1237650795141202304,-,134.65659,-0.666044,0,0.106,0.106,90.0,2,1,,,,107.9,65.0,17.1,65.88,0,0,1.9828,0.8553,1.2881,3.0522,0.8368,4.6983,Z,,,,,,,,,0.155,,,,,,0,0,0,0,15.787902,15.315308,,,0.035826,0.084421,,,1,1,15.095,14.595,14.096,0.157,0.263,0.291,2,23.771,20.252,18.957,18.123,18.043,0.712,0.022,0.012,0.008,0.022,,,,,,6.2722,,,,,,,,,6.187,,,,,-1,-1,?,?,,1.9828,107.9,,6.272200107574463,14.095999717712402,,,,6.186999797821045,1538153.9242395374,,,,,2367,1.2950001,,,,-12.431847401893295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736837,2MASXJ09013736+2223400,2MASX J09013736+2223400,,,09013736+2223400,1237667142328123571,-,135.405527,22.394583,0,0.138,0.078,124.7,H,1,,,57.16,20.0,,46.4,,0,0,2.3914,1.0392,1.5486,3.693,1.0028,5.7029,Z,18.796,17.592,,,0.026,0.5,,,0.129,,,,,,0,0,0,0,13.472646,13.236328,9.602954,8.215445,0.005115,0.014932,0.035243,0.241452,0,0,14.804,14.371,13.623,0.101,0.137,0.133,2,18.803,17.352,16.716,16.42,16.242,0.024,0.005,0.004,0.004,0.01,,,,38.8924,38.5601,6.6241,0.825,,,,-3.04,-3.456,-3.052,W3,6.5404,,,,,-1,-1,?,?,,2.3914,20.0,,6.624100208282471,13.623000144958496,17.591999053955078,-3.052000045776367,8.871559185281906E-4,6.54040002822876,3470563.765663464,2.556229991522988E-10,-9.592400074005127,,,2368,0.6359997,,-1.2040005,-9.301262070587425,-14.399662157549905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737149,2MASXJ09025798+1813421,2MASX J09025798+1813421,,,09025798+1813421,1237667429554716714,-,135.741812,18.22845,0,0.136,0.136,0.0,H,2,,,27.06,12.3,17.1,18.2,20.94,0,0,1.998,0.8618,1.298,3.0756,0.8432,4.7344,Z,20.301,18.054,,,0.123,0.5,,,0.13,,,,,,0,0,0,0,13.853115,13.803266,12.068832,,0.005717,0.01998,0.281016,,1,1,13.715,13.017,12.704,0.064,0.072,0.094,2,18.685,16.649,15.806,15.56,15.413,0.017,0.005,0.005,0.005,0.006,,,,37.7499,,6.8356,0.906,,,,-4.055,,-4.067,W3,6.7927,,,,,-1,-1,?,?,,1.998,12.3,,6.835599899291992,12.704000473022461,18.054000854492188,-4.066999912261963,8.570380183728547E-5,6.792699813842773,6204400.352441365,1.3813390008522249E-11,-10.859699726104736,,,2369,0.8430004,,-2.2469997,-8.44897656495763,-15.188110098615933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737934,2MASXJ09063513+5314170,2MASX J09063513+5314170,,,09063513+5314170,1237654383588540469,-,136.646459,53.238051,0,0.149,0.149,0.0,H,2,,,25.16,-86.9,22.8,85.8,25.61,0,0,2.8801,1.287,1.8422,4.5028,1.1783,7.0396,Z,19.219,17.765,,,0.049,0.5,,,0.062,,,,,,0,0,0,0,13.710558,13.460282,10.955188,9.445269,0.005763,0.015843,0.104324,0.621635,0,0,15.024,14.156,14.157,0.144,0.195,0.284,2,19.613,17.564,16.725,16.36,16.119,0.058,0.006,0.005,0.005,0.01,,,,38.513,,6.572,,,,,-3.377,,-3.389,W3,6.4868,,,,,-1,-1,?,?,,2.8801,-86.9,,6.572000026702881,14.156999588012695,17.764999389648438,-3.3889999389648438,4.083194437173478E-4,6.486800193786621,3067610.3457166115,1.331066849111053E-10,-9.875800132751465,,,2370,0.8389988,,-1.4540005,-9.5320384461863,-14.39183030025729
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738350,2MASXJ09083512+0201529,2MASX J09083512+0201529,,,09083512+0201529,1237674462024696208,-,137.146471,2.031405,0,0.071,0.061,30.5,H,1,,,31.65,12.9,21.9,-59.3,24.57,0,0,1.2603,0.5375,0.8228,1.9306,0.5371,2.9573,Z,21.476,19.892,,,0.218,0.5,,,0.155,,,,,,0,0,0,0,13.846158,13.648141,12.819145,10.193875,0.006902,0.020328,0.656609,1.397293,0,0,15.119,14.458,13.947,0.2,0.2,0.279,2,22.078,19.422,17.857,16.994,16.462,0.341,0.018,0.008,0.006,0.011,,,,,,5.9382,,,,,,,,,5.853,,,,,-1,-1,?,?,,1.2603,12.9,,5.938199996948242,13.946999549865723,19.892000198364258,,,5.853000164031982,712853.2993694472,,,,,2371,1.5650005,,-1.5839996,-5.610369482924014,-13.402042184845069
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3740788,2MASXJ09194324+2704405,2MASX J09194324+2704405,,,09194324+2704405,1237664834858123449,-,139.930086,27.077909,0,0.11,0.093,33.2,H,1,,,32.97,42.0,,100.8,,0,0,3.0386,1.381,1.9289,4.7869,1.2244,7.541,Z,19.192,18.003,,,0.038,0.5,,,0.13,,,,,,0,0,0,0,13.518937,13.375252,10.37593,8.931739,0.004948,0.015374,0.063525,0.415381,0,0,14.886,14.244,13.843,0.074,0.093,0.108,2,19.239,17.75,16.873,16.299,15.906,0.033,0.006,0.005,0.004,0.007,,,,38.7912,,6.7441,0.92,,,,-3.13,,-3.141,W3,6.7079,,,,,-1,-1,?,?,,3.0386,42.0,,6.744100093841553,13.843000411987305,18.003000259399414,-3.1410000324249268,7.227697496393454E-4,6.707900047302246,5103875.209774135,1.4161195560879135E-10,-9.848900079727173,,,2372,0.8770008,,-1.1889992,-9.410367408117235,-14.262962237208239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3744322,2MASXJ09362375+5020592,2MASX J09362375+5020592,,,09362375+5020592,1237657771244912830,-,144.099035,50.349804,0,0.104,0.076,28.0,H,1,,,43.88,-63.0,12.3,108.6,17.24,0,0,3.1154,1.413,1.9794,4.9032,1.2577,7.7171,Z,20.697,18.921,,,0.123,0.5,,,0.056,,,,,,0,0,0,0,13.454918,13.209583,12.528862,,0.003843,0.01143,0.415914,,0,0,14.922,13.903,13.59,0.16,0.161,0.18,2,20.459,18.426,17.154,16.381,15.87,0.101,0.009,0.005,0.004,0.009,,,,,,6.867,1.1,,,,,,,,6.9086,,,,,-1,-1,?,?,,3.1154,-63.0,,6.867000102996826,13.59000015258789,18.92099952697754,,,6.908599853515625,8102142.057023549,,,,,2373,1.2720013,,-1.776001,-8.546569550855683,-14.017827615106087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747079,2MASXJ09473425+3530165,2MASX J09473425+3530165,,,09473425+3530165,1237661382772850813,-,146.892719,35.504474,0,0.089,0.063,170.5,H,1,,,46.33,-29.0,,83.8,,0,0,2.8584,1.2732,1.831,4.4624,1.1728,6.9665,Z,20.316,18.151,,,0.055,0.5,,,0.049,,,,,,0,0,0,0,13.811165,13.768895,14.752742,,0.005144,0.018056,2.928672,,0,0,14.618,14.104,13.66,0.067,0.096,0.104,2,20.311,17.887,16.736,16.278,16.036,0.05,0.006,0.004,0.004,0.007,,,,,,6.7643,1.042,,,,,,,,6.782,,,,,-1,-1,?,?,,2.8584,-29.0,,6.7642998695373535,13.65999984741211,18.150999069213867,,,6.7820000648498535,6053409.651448157,,,,,2374,1.1509991,,-2.165001,-9.12961594675805,-14.38225828281997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755017,2MASXJ10233975+6204124,2MASX J10233975+6204124,,,10233975+6204124,1237668671864438824,-,155.915738,62.07013,0,0.079,0.079,0.0,H,2,,,16.71,29.7,14.7,257.7,18.54,0,0,4.2478,1.9575,2.6793,6.7344,1.69,10.6767,Z,20.639,19.187,,,0.112,0.5,,,0.022,,,,,,0,0,0,0,14.498619,14.610045,12.242776,,0.009562,0.038163,0.298446,,0,0,15.439,15.131,13.965,0.252,0.0,0.249,2,21.76,18.981,17.738,17.101,16.713,0.293,0.012,0.007,0.006,0.015,,,,38.3355,,6.9863,1.086,,,,-3.535,,-3.547,W3,7.0222,,,,,-1,-1,?,?,,4.2478,29.7,,6.986299991607666,13.96500015258789,19.187000274658203,-3.546999931335449,2.837919477133535E-4,7.022200107574463,1.0524466924243884E7,2.696497121955107E-11,-10.569200038909912,,,2375,1.243,,-1.4519997,-8.953820028254594,-13.506522489531669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755721,2MASXJ10264764+4210101,2MASX J10264764+4210101,,,10264764+4210101,1237661851997306993,-,156.698531,42.169525,0,0.078,0.078,0.0,H,2,,,23.85,-27.0,,133.4,,0,0,3.3483,1.5306,2.1198,5.2887,1.3421,8.3536,Z,20.504,18.549,,,0.076,0.5,,,0.036,,,,,,0,0,0,0,13.958189,13.756604,,9.224181,0.005985,0.017921,,0.440533,0,0,15.267,14.428,14.054,0.109,0.12,0.147,2,20.578,18.293,17.149,16.672,16.377,0.073,0.007,0.005,0.005,0.008,,,,,,6.7441,1.038,,,,,,,,6.7604,,,,,-1,-1,?,?,,3.3483,-27.0,,6.744100093841553,14.053999900817871,18.548999786376953,,,6.76039981842041,5759699.404401739,,,,,2376,1.1439991,,-1.9549999,-9.075122027892881,-14.022193855142046
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756146,2MASXJ10283410+0301284,2MASX J10283410+0301284,,,10283410+0301284,1237653665798881297,-,157.142127,3.024626,0,0.228,0.153,138.4,H,1,-5.0,3.0,90.0,33.0,,13.7,,0,0,1.9365,0.8317,1.2604,2.9753,0.8204,4.5713,Z,17.121,16.255,,,0.009,0.5,,,0.188,0.0,,,,,0,0,0,0,12.318161,11.765219,8.457911,5.70678,0.001629,0.003703,0.01257,0.024774,0,0,13.542,12.898,12.49,0.063,0.082,0.097,2,17.243,16.049,15.424,15.229,15.076,0.009,0.003,0.003,0.003,0.005,,,,39.1671,39.3803,6.8941,,,,,-2.796,-2.705,-2.807,W3,6.8089,,,,,-1,-1,?,?,,1.9365,33.0,-5.0,6.894100189208984,12.489999771118164,16.2549991607666,-2.806999921798706,0.0015595527836480088,6.808899879455566,6440207.783787622,2.421587681648996E-10,-9.615899801254272,,,2377,0.625,,-0.8660011,-10.180088345843906,-15.516985266341841
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756550,2MASXJ10302049+5724273,2MASX J10302049+5724273,,,10302049+5724273,1237658303815221298,-,157.585271,57.407559,0,0.245,0.19,157.7,H,1,-5.0,3.0,59.97,3.6,20.7,219.9,23.82,0,0,4.019,1.8613,2.5292,6.3863,1.5916,10.1482,Z,18.112,16.52,,,0.023,0.5,,,0.028,0.0,,,,,0,0,0,0,13.155278,13.06069,12.580271,10.205539,0.00252,0.008414,0.344263,1.006374,0,0,12.598,12.171,11.595,0.043,0.069,0.061,2,19.432,17.172,15.822,15.232,14.953,0.045,0.005,0.003,0.003,0.005,,,,,,7.8862,1.14,,,,,,,,7.9432,,,,,-1,-1,?,?,,4.019,3.6,-5.0,7.886199951171875,11.595000267028809,16.520000457763672,,,7.94320011138916,8.774050129962118E7,,,,,2378,1.3500013,,-1.591999,-11.500589573196503,-15.174307289241499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3757454,2MASXJ10340949+2223315,2MASX J10340949+2223315,,,10340949+2223315,1237667537474027632,-,158.539651,22.392121,0,0.069,0.062,26.1,H,1,,,25.98,-28.0,,49.7,,0,0,2.4372,1.0818,1.5636,3.7989,1.0031,5.9213,Z,20.665,18.662,,,0.071,0.5,,,0.106,,,,,,0,0,0,0,14.524362,14.516587,,10.10185,0.011604,0.041326,,1.240912,0,0,15.45,14.366,14.189,0.172,0.16,0.241,2,20.609,18.395,17.34,16.94,16.671,0.063,0.007,0.005,0.006,0.01,,,,,,6.4142,0.997,,,,,,,,6.413,,,,,-1,-1,?,?,,2.4372,-28.0,,6.4141998291015625,14.189000129699707,18.66200065612793,,,6.413000106811523,2588213.5517050396,,,,,2379,1.0550003,,-2.0030003,-8.272455191134227,-13.855245332221509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3758212,2MASXJ10372315+2929598,2MASX J10372315+2929598,,,10372315+2929598,1237667288350261284,-,159.346244,29.500296,0,0.134,0.094,154.6,H,1,,,46.6,2.0,,114.1,,0,0,3.1692,1.4345,2.0155,4.9834,1.2818,7.836,Z,18.504,17.801,,,0.022,0.5,,,0.096,,,,,,0,0,0,0,14.01831,13.904326,12.621061,,0.007142,0.023534,0.454781,,0,0,14.927,14.414,13.95,0.112,0.184,0.189,2,18.48,17.366,16.84,16.593,16.54,0.021,0.005,0.004,0.005,0.012,,,,,,6.7379,,,,,,,,,6.6527,,,,,-1,-1,?,?,,3.1692,2.0,,6.7378997802734375,13.949999809265137,17.801000595092773,,,6.652699947357178,4494692.107805705,,,,,2380,0.52599907,,-0.7029991,-9.703747641179971,-14.291710302906058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3759292,2MASXJ10422184+4747254,2MASX J10422184+4747254,,,10422184+4747254,1237658613589016676,-,160.59114,47.790189,0,0.113,0.063,63.1,H,1,,,57.16,-9.0,19.8,179.9,23.5,0,0,3.7384,1.7057,2.3688,5.8999,1.501,9.3111,Z,20.037,18.553,,,0.078,0.5,,,0.081,,,,,,0,0,0,0,13.647622,13.302585,10.318277,9.115994,0.004536,0.011815,0.045768,0.385155,0,0,15.12,14.016,13.743,0.161,0.157,0.15,2,20.11,18.334,17.386,16.979,16.72,0.07,0.008,0.006,0.006,0.012,,,,38.9943,,6.9642,0.95,,,,-2.949,,-2.961,W3,6.9419,,,,,-1,-1,?,?,,3.7384,-9.0,,6.964200019836426,13.743000030517578,18.55299949645996,-2.9609999656677246,0.001093956452752614,6.94189977645874,8747818.756910168,1.250547688689211E-10,-9.902899742126465,,,2381,0.94799995,,-1.4840012,-9.310429343621323,-13.814998656858805
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760061,2MASXJ10452189+4026098,2MASX J10452189+4026098,,,10452189+4026098,1237662195055591622,-,161.341209,40.436253,0,0.137,0.106,177.9,H,1,,,40.23,11.1,22.2,173.6,25.8,0,0,3.6899,1.692,2.3327,5.8366,1.4747,9.2324,Z,19.197,17.755,,,0.049,0.5,,,0.07,,,,,,0,0,0,0,13.917468,13.944172,12.761549,11.780301,0.007281,0.026871,0.569283,5.678668,0,0,15.003,14.361,13.874,0.14,0.203,0.2,2,19.27,17.546,16.748,16.407,16.177,0.046,0.006,0.005,0.005,0.011,,,,,,6.9004,0.888,,,,,,,,6.8486,,,,,-1,-1,?,?,,3.6899,11.1,,6.900400161743164,13.87399959564209,17.7549991607666,,,6.848599910736084,7056671.662070918,,,,,2382,0.79800034,,-1.4420013,-10.080073821740521,-14.371815464957226
