Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation
ESO495-021,129.0633333333333,-26.409444444444443,2.09,0.77,0.48,9.0,,117,9,BCD,H,868,8.24,TRGB,5.5,45,72,0.08,22.3,9.56,9.52,,8.28,581,-1.1,NGC2784,-0.8,-0.57,,12.45,,,,,,14.71,,,14.19,0.03,868,12,,2004AJ....128...16K,29.58,0.07,-17.69,,-0.2,,0.38,,-1.39,,,,,,,3.6307805477010174E9,3.3113112148259077E9,1.9054607179632443E8,0.6309573444801932,,2.17846832862061E9,9.338151250383644,24171,ESO495-021,ESO 495- G 021,ESO 495- G 021,,08361519-2624336,-,-,129.063291,-26.409333,0,0.986,0.706,135.8,H,1,-2.6,1.5,54.09,859.7,8.8,647.4,11.59,1,1,8.2414,0.3795,7.8705,8.6298,7.5162,9.0365,N,,12.459,11.83,11.83,,0.174,0.04,0.04,0.484,0.0,,,,,0,0,0,0,,,,,,,,,0,0,9.881,9.268,9.004,0.014,0.017,0.024,2,,,,,,,,,,,,,,,,9.5464,,,,,,,,,9.4612,,,,,-1,-1,Y,Y,0.42378346485045026
ESO501-023,158.84666666666666,-24.754166666666666,3.47,0.79,0.27,10.3,*,63,8,,,1042,10.2,TF,10.8,38,44,0.01,24.4,9.2,9.38,,8.86,756,-1.0,ESO501-080,-0.5,-0.46,,13.2,,,14.72,0.09,,13.73,,,,,1042,18,,2005MNRAS.361...34D,30.04,,-17.13,,,,,,,,-0.87,,0.06,,-0.14,1.5848931924611108E9,2.398832919019495E9,7.244359600749891E8,,0.13489628825916536,9.509359154766665E8,8.978151250383643,31359,ESO501-023,UGCA 212,UGCA 212,F10330-2429,,-,-,158.846577,-24.754115,0,1.469,1.172,10.4,H,1,8.0,0.4,41.62,1042.5,3.1,899.4,10.22,3,1,7.4814,2.0205,5.9431,9.0567,4.9542,16.0795,N,13.085,13.295,12.633,12.633,0.347,0.347,0.097,0.097,0.273,0.181,0.1493,0.0844,0.469,0.8537,1,1,3,2,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,41.1957,,,,,,,-1.869,,,-1.766,F3,,,,,,-1,-1,N,N,0.3471691009842963
ESO540-032,12.6025,-19.90694444444444,1.51,0.92,0.09,14.0,*,17,10,Ir,L,228,3.63,TRGB,1.62,26,6,0.0,25.9,6.83,6.8,,6.03,285,1.4,NGC0247,1.7,1.74,,16.44,0.08,,19.7,0.1,,18.55,,,24.1,0.35,228,1,3,2005AJ....130.2058B,27.8,0.03,-11.45,,-4.98,,-1.68,,1.14,,-3.91,,-0.61,,0.07,6760829.753919818,6309573.44480193,1071519.305237607,1.0471285480508985E-5,1.230268770812381E-4,4056497.852351891,6.608151250383644,2933,ESO540-032,ESO 540- G 032,ESO 540- G 032,,,-,-,12.602349,-19.906444,1,0.618,0.5,144.4,H,1,10.0,0.5,40.33,227.7,6.7,79.1,15.69,6,1,3.5493,0.2063,3.4801,3.6511,3.3218,3.7289,N,,16.612,,,,0.198,,,0.087,0.171,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,1.872699974986207
ESO553-046,81.77374999999999,-20.678055555555556,1.12,0.71,0.19,12.0,,62,9,BCD,N,541,6.7,TRGB,2.25,51,35,0.0,23.4,8.17,8.49,,7.46,370,-2.1,NGC1291,-1.6,,,14.6,,,15.48,0.05,,16.32,,,16.16,0.03,541,18,,2005MNRAS.361...34D,29.13,0.02,-14.72,,-1.25,,0.72,,-1.16,,-1.61,,0.36,,-0.8,1.479108388168207E8,3.090295432513592E8,2.8840315031266056E7,0.05623413251903491,0.024547089156850298,8.874650329009242E7,7.948151250383644,17302,ESO553-046,ESO 553- G 046,ESO 553- G 046,F05249-2043,05270568-2040410,-,-,81.773908,-20.677854,0,0.518,0.368,164.5,H,1,4.0,5.2,46.19,542.0,6.2,303.0,11.45,1,1,6.6989,0.3085,6.3974,7.0145,6.1094,7.3451,N,,14.638,,,,0.198,,,0.196,0.24,0.0717,0.1008,0.6225,0.8362,1,1,3,2,,,,,,,,,0,0,15.459,14.782,14.983,0.192,0.219,0.489,2,,,,,,,,,,,,,41.2227,,,6.9748,,,,-1.842,,,-1.739,F3,,,,,,-1,-1,?,?,0.8998263019980639
ESO565-003,140.79125,-20.1675,0.72,0.67,0.27,12.9,*,31,10,Ir,N,829,10.67,NAM,2.35,55,12,0.0,23.3,8.2,7.56,,7.63,549,-0.4,NGC2784,-0.2,-0.2,,15.53,,,17.49,0.06,,16.9,,,19.39,0.16,829,3,3,2001A&A...377..801H,30.14,,-14.88,,-2.12,,-0.19,,-0.12,,-1.95,,-0.02,,-0.29,1.584893192461111E8,3.63078054770101E7,4.265795188015926E7,0.007585775750291836,0.011220184543019636,9.509359154766665E7,7.978151250383643,26566,ESO565-003,ESO 565- G 003,,,,-,-,140.791739,-20.167568,0,0.386,0.323,32.0,H,1,10.0,1.4,37.24,828.0,5.3,662.9,10.44,0,0,10.4532,4.001,7.1289,15.3276,4.8618,22.4751,Z,,15.654,,,,0.356,,,0.264,0.145,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,1.6705014775730567
ESO572-034,179.7420833333333,-19.029999999999998,1.32,0.51,0.17,11.5,,67,9,BCD,H,1114,10.52,TRGB,4.07,71,31,0.0,23.4,8.76,8.65,,8.3,871,-0.8,NGC4594,-0.6,,,14.27,,,,,,15.18,,,16.61,,1114,18,,2005MNRAS.361...34D,30.11,0.07,-16.01,,-1.04,,0.33,,-0.53,,,,,,,5.754399373371567E8,4.466835921509635E8,1.9952623149688828E8,0.09120108393559097,,3.45263962402294E8,8.538151250383644,37727,ESO572-034,ESO 572- G 034,ESO 572- G 034,F11564-1845,11585811-1901476,-,-,179.742152,-19.029968,0,0.568,0.279,17.5,H,1,9.2,2.7,73.39,1114.3,3.5,1047.5,12.29,1,0,8.5114,2.0877,6.66,10.8775,5.2113,13.9013,C,,14.258,,,,0.219,,,0.17,0.57,0.0827,0.1549,0.857,1.17,1,2,3,2,,,,,,,,,0,0,13.23,13.276,12.975,0.047,0.068,0.159,2,,,,,,,,,,,41.8997,41.5673,41.5696,,,7.986,,-1.51,-1.536,-1.495,,,-1.51,FT,7.9008,,,,,-1,-1,?,?,0.2605418895080301
EZOA J2120+45,320.19249999999994,45.272777777777776,0.89,0.53,3.62,10.0,,100,9,Im,N,261,7.73,NAM,4.27,69,47,0.05,22.7,9.22,9.03,,8.17,576,-1.0,NGC6946,-0.9,,,16.3,,,,,,14.84,0.36,,,,261,15,29,2019MNRAS.489.2907S,29.44,,,,,,,,,,,,,,,1.6595869074375632E9,1.0715193052376049E9,1.479108388168207E8,,,9.957521444625379E8,8.998151250383644,166712,PGC166712,2MASX J21204618+4516221,,,21204618+4516221,-,-,320.192416,45.272806,0,0.376,0.193,89.0,H,1,5.0,2.0,61.23,228.0,,478.3,,0,0,6.2234,2.5807,4.1109,9.4214,2.7155,14.2628,Z,,15.83,,,,0.5,,,4.327,0.492,,,,,0,0,0,0,,,,,,,,,0,0,11.193,10.254,9.987,0.04,0.035,0.05,2,,,,,,,,,,,,,,,,8.9093,,,,,,,,,8.8241,,,,,-1,-1,?,?,0.23581785901229574
F8D1,146.19624999999996,67.43861111111111,2.19,0.91,0.41,12.3,*,,-3,Sph,L,-125,3.75,TRGB,2.69,29,,0.0,27.0,7.54,,<,6.2,8,2.6,MESSIER081,2.7,1.91,,16.82,,>,23.0,,>,18.2,,,22.91,0.17,-125,130,,,27.87,0.05,-11.46,,-4.4,,-1.8,,0.73,<,-4.96,<,-2.36,>,1.29,3.4673685045253165E7,,1584893.1924611141,3.9810717055349695E-5,1.0964781961431852E-5,2.0804211027151898E7,7.318151250383644,3097827,PGC3097827,F08D1,F8D1,,,-,-,146.19625,67.438611,0,1.099,1.099,0.0,H,2,-3.0,2.0,29.41,-125.0,130.0,108.0,130.43,3,1,3.7024,0.1035,3.6088,3.8021,3.531,3.9533,N,,14.6,13.85,13.85,,0.5,0.224,0.224,0.468,0.0,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,4.000000524704778E-4
GALFA Dw4,86.43666666666665,10.771111111111113,0.53,0.54,2.28,13.4,*,41,10,Ir,N,615,7.22,TF,1.78,68,17,0.0,23.8,7.76,7.78,,6.81,550,-2.0,Orion,-1.5,-0.53,,17.8,,,,,,18.09,,,19.47,-0.0,615,1,,2012ApJ...758...44S,29.29,,-13.77,,-2.06,,0.32,,-1.0,,,,,,,5.754399373371567E7,6.025595860743581E7,6456542.290346549,0.008709635899560805,,3.45263962402294E7,7.538151250383644,5072715,GALFA-DW4,GALFA J086.4+10.8+611,,,,-,-,86.436626,10.771,0,,,," ",0,10.0,2.0,,629.4,4.0,534.1,11.56,0,0,7.4571,3.0264,4.9695,11.1899,3.3117,16.7913,Z,,17.355,,,,0.568,,,2.715,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.4250698670158003
GR34,185.53166666666664,15.799166666666666,0.93,0.82,0.11,13.4,*,25,10,Ir,L,1298,9.29,TRGB,2.55,39,5,0.0,24.3,7.88,6.89,,6.97,1205,0.3,NGC4382,0.6,1.69,,15.88,0.03,,19.04,0.04,,18.24,,,22.34,0.14,1298,3,6,2011AJ....142..170H,29.84,0.26,-14.07,,-3.45,,-1.19,,0.55,,-2.82,,-0.56,,-0.08,7.585775750291836E7,7762471.166286912,9332543.007969905,3.548133892335753E-4,0.0015135612484362087,4.551465450175101E7,7.658151250383644,40045,PGC040045,VCC 0530,VCC 0530,,,1237664291539255787,-,185.531886,15.79904,0,0.562,0.562,0.0,H,2,9.4,1.5,46.91,1297.8,5.8,1411.8,15.33,1,1,9.2897,0.8984,8.4334,10.2329,7.656,11.272,N,16.02,15.804,,,0.037,0.044,,,0.112,0.234,,,,,0,0,0,0,18.12923,,12.185732,,0.295607,,0.293449,,0,0,,,,,,,0,22.607,23.077,23.023,22.125,22.649,0.24,0.193,0.25,0.161,0.502,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.8861080660976315
Grapes,178.0233333333333,54.79222222222222,0.27,0.74,0.03,15.9,*,,10,Ir,L,321,5.96,TRGB,0.47,48,,0.0,24.0,6.51,,,,408,,,,,,18.27,,,,,,,,,22.94,-0.0,321,210,,,28.88,,-10.64,,-4.1,,-0.47,,,,,,,,,3235936.569296281,,,7.943282347242822E-5,,1941561.9415777684,6.288151250383644,6726347,LBTJ115205.6+544732.2,,,,,1237657590321643714,-,178.023259,54.79229,0,0.074,0.074,0.0,S,2,10.0,2.0,,320.8,209.9,559.6,210.25,0,0,8.0785,3.2941,5.3734,12.1456,3.5741,18.2601,Z,,18.5,,,,0.5,,,0.039,,,,,,0,0,0,0,16.181738,,,,0.226971,,,,0,0,,,,,,,0,19.172,18.275,18.082,18.127,18.056,0.153,0.027,0.037,0.062,0.253,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.2886852870332281
Grus 1,344.1766666666666,-50.163333333333334,3.5,0.59,0.03,13.6,*,7,-3,Sph,X,-140,0.12,HB,0.12,73,3,0.0,29.0,4.04,4.98,<,3.48,-190,2.4,Milky Way,2.5,1.75,,17.7,,,,,>,17.53,,,,,-140,2,16,2016ApJ...819...53W,20.4,0.15,,,,,,,,,,,,,,10964.78196143185,95499.25860214369,3019.9517204020162,,,6578.86917685911,3.8181512503836434,5074558,GRUS1,,,,,-,-,344.1765,-50.1633,1,,,," ",0,,,,-140.5,2.0,-343.7,12.69,0,0,0.7751,0.3024,0.5247,1.145,0.3552,1.6915,Z,,,17.028,17.028,,,0.3,0.3,0.036,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.4026577728029127
HIPASS J0517-32,79.33999999999999,-32.75972222222222,0.68,0.59,0.07,13.3,*,65,9,Im,H,798,9.32,TRGB,1.83,63,32,0.0,23.4,7.93,8.33,,7.89,599,,,,,,15.72,,,17.28,0.04,,15.95,,,,,798,9,,2005MNRAS.361...34D,29.85,,-14.19,,,,,,,,-2.14,,0.07,,0.16,8.511380382023759E7,2.1379620895022324E8,7.762471166286911E7,,0.007244359600749898,5.1068282292142555E7,7.708151250383644,4078612,HIPASSJ0517-32,GALEXASC J051721.53-324533.8,,,,-,-,79.340022,-32.759646,0,0.121,0.072,86.0,Y,1,9.0,2.0,,797.8,5.8,520.8,10.76,0,0,7.141,2.9301,4.7376,10.7636,3.1431,16.224,Z,,15.96,,,,0.5,,,0.08,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.28236735986304895
