NGC0925           , 022716.0+333441,  7, -19.93,  -0.01,  -0.02,  -0.26,   0.12,   0.11,  -0.39
Halogas           , 022720.0+335730, 10, -12.23,  -2.79,   0.20,   0.45,  -3.00,  -0.01,   0.66
KKH12             , 022727.0+572916, 10, -14.37,  -1.90,   0.03,  -0.20,       ,       ,       
DDO022            , 023254.0+384050, 10, -14.55,  -2.32,  -0.26,   0.56,  -2.38,  -0.32,   0.62
DDO025            , 023318.2+332928,  8, -16.35, <-1.66, <-0.42, > 0.22,  -1.30,  -0.06,  -0.14
DDO024            , 023343.0+403141,  8, -16.55, <-1.56, <-0.40, > 0.43,       ,       ,       
MB1               , 023535.6+592247, 10, -15.75,  -1.75,  -0.62,  -0.08,       ,       ,       
Maffei1           , 023635.5+593918, -3, -20.32, <-2.45, <-3.07,       ,       ,       ,       
ESO115-021        , 023745.0-612028,  7, -15.58,  -1.63,  -0.24,   0.34,  -1.44,  -0.05,   0.15
Fornax            , 023954.7-343133, -3, -11.50,       ,       ,       ,  -7.16,  -4.58,   2.48
Maffei2           , 024154.5+593611,  4, -19.26,  -0.76,  -1.83,   0.29,       ,       ,       
UGC02172          , 024210.8+432119, 10, -15.69,  -0.94,   0.88,  -1.06,       ,       ,       
AGC122226         , 024638.9+274335,  9, -12.89,  -2.30,   0.43,  -0.11,       ,       ,       
AGC124635         , 024838.5+191942, 10, -10.76,       ,       ,       ,  -2.63,   0.95,  -0.04
AGC123352         , 024839.2+231626, 10, -11.64,  -2.86,   0.37,   0.17,  -3.14,   0.09,   0.45
Dw2               , 025408.5+590019, 10, -16.10,  -1.87,  -0.69,   0.61,       ,       ,       
MB3               , 025543.6+585142, 10, -14.95, <-3.54, <-2.01,       ,       ,       ,       
ESO154-023        , 025650.4-543423,  8, -16.45,  -1.32,  -0.12,   0.59,  -1.00,   0.20,   0.27
Dw1               , 025656.1+585442,  3, -19.48,  -0.62,  -1.13,  -0.01,       ,       ,       
AGC124056         , 025736.4+234721, 10, -11.05, <-1.73, < 1.74, >-1.35, <-4.18, <-0.71, > 1.10
ESO199-007        , 025804.1-492257, 10, -12.55,       ,       ,       ,  -2.71,   0.15,   0.09
GALFA Dw3         , 025856.5+133745, 10, -11.97,  -3.42,  -0.32,   0.39,  -2.53,   0.57,  -0.50
NGC1156           , 025942.4+251415,  8, -17.86,  -0.59,   0.34,  -0.57,  -0.58,   0.35,  -0.58
N1156dw1          , 030018.2+251456, 10, -10.99, <-4.10, <-0.61,       , <-3.76, <-0.27,       
N1156dw2          , 030028.0+251817, 10, -10.64, <-4.24, <-0.61,       ,  -3.21,   0.42,       
LV J0300+2546     , 030039.3+254656, 10, -12.73,  -3.09,  -0.30,  -0.58,  -3.41,  -0.62,  -0.26
Perseus I         , 030123.6+405918, -2,  -9.62, <-6.38, <-3.04,       ,       ,       ,       
dw0301+2446       , 030132.2+244659, 10, -11.05,       ,       ,       , <-3.95, <-0.48,       
KKH18             , 030305.9+334140, 10, -12.56,  -3.21,  -0.35,   0.48,  -2.57,   0.29,  -0.16
N1291-DW9         , 030925.1-410457, -1, -10.17,       ,       ,       , <-4.50, <-1.38,       
ESO300-014        , 030937.8-410150,  8, -17.13,  -1.42,  -0.59,   0.21,  -1.07,  -0.24,  -0.14
ESO300-016        , 031010.5-400011, 10, -14.36,  -2.72,  -0.58,   0.76,  -2.20,  -0.06,   0.24
N1291-DW11        , 031244.2-424754, 10, -11.53,       ,       ,       ,  -3.54,  -0.27,       
N1291-DW2         , 031509.7-404005, -1, -10.98,       ,       ,       , <-4.60, <-1.81,       
N1291-DW8         , 031701.4-414201, -1, -12.50,       ,       ,       , <-4.47, <-2.28,       
NGC1291           , 031718.6-410629,  1, -20.43,  -0.38,  -1.21,  -0.48,  -0.98,  -1.81,   0.12
N1291-DW3         , 031729.4-405822, -1, -11.82,       ,       ,       , <-4.68, <-2.22,       
N1291-DW5         , 031738.1-414145, -1, -12.61,       ,       ,       , <-4.35, <-2.21,       
NGC1313           , 031815.4-662951,  7, -19.10,  -0.27,   0.29,  -0.31,  -0.09,   0.47,  -0.49
N1291-DW6         , 031843.0-410127, -1, -10.56,       ,       ,       , <-4.56, <-1.60,       
N1291-DW12        , 031847.0-421158, -1,  -8.64,       ,       ,       , <-4.65, <-0.92,       
N1291-DW1         , 031925.9-400347, -1, -11.08,       ,       ,       , <-4.46, <-1.71,       
N1291-DW15        , 031937.7-402517, 10, -10.11,       ,       ,       ,  -3.95,  -0.11,       
N1291-DW4         , 031943.1-412654, -1, -11.78,       ,       ,       ,  -4.81,  -2.34,       
NGC1311           , 032007.4-521106,  8, -15.41,  -1.55,   0.15,  -0.28,  -1.67,   0.03,  -0.16
UGC02684          , 032023.7+171742, 10, -13.56,  -2.76,  -0.27,   0.88,  -2.19,   0.30,   0.31
N1291-DW13        , 032033.8-404818, -1,  -9.62,       ,       ,       , <-4.69, <-1.35,       
KK27              , 032103.0-661911, 10, -11.96,       ,       ,       ,  -3.67,  -0.57,  -0.28
[KK2000] 08       , 032124.6-415954,  9, -13.13,       ,       ,       ,  -3.14,  -0.51,       
ESO301-010        , 032316.0-404050, -1, -13.12,       ,       ,       , <-4.61, <-2.67,       
UGC02716          , 032407.2+174515,  8, -15.07,  -2.23,  -0.47,   0.07,  -1.95,  -0.19,  -0.21
N1291-DW14        , 032502.8-402132, 10, -10.87,       ,       ,       ,  -3.51,   0.03,       
N1291-DW10        , 032538.4-411351, -1, -11.41,       ,       ,       , <-4.50, <-1.88,       
UGC02773          , 033207.1+474737,  9, -16.84,  -0.57,   0.33,  -0.79,       ,       ,       
IC1959            , 033311.8-502438,  8, -16.07,  -1.38,   0.27,  -0.11,  -1.18,   0.47,  -0.31
PGC013294         , 033556.8-451129, 10, -13.23,       ,       ,       ,  -2.50,   0.09,  -0.27
NGC1400           , 033930.8-184117, -3, -20.34,  -0.66,  -1.51,       ,  -1.21,  -2.06,       
KKH22             , 034456.6+720352, 10, -11.13, <-4.92, <-1.49, > 1.41, <-4.15, <-0.72, > 0.64
KK35              , 034512.6+675150, 10, -14.86,  -1.39,   0.55,       ,  -1.69,   0.25,       
IC0342            , 034648.9+680545,  6, -20.69, >-0.26, >-0.72, < 0.55,   0.60,   0.14,  -0.31
UGC02905          , 035700.6+163128, 10, -14.42,  -2.59,  -0.48,   0.28,  -2.13,  -0.02,  -0.18
UGCA086           , 035949.5+670731,  8, -17.93,  -1.14,  -0.13,       ,       ,       ,       
IC2038            , 040854.1-555932,  7, -16.51,       ,       ,       ,  -1.46,  -0.40,   0.79
NGC1533           , 040951.8-560706,  0, -19.87,  -0.28,  -0.99,   0.17,  -1.26,  -1.97,   1.15
ESO483-013        , 041241.1-230932,  9, -15.51,  -1.82,  -0.41,  -0.42,  -1.80,  -0.39,  -0.44
CamA              , 042515.6+724821, 10, -13.85,  -2.91,  -0.57,   1.18,  -3.43,  -1.09,   1.70
NGC1592           , 042940.8-272431, 10, -15.60,  -1.28,   0.68,  -0.60,  -0.98,   0.98,  -0.90
NGC1569           , 043049.1+645053,  8, -18.19,  -0.08,   0.65,  -1.49,  -0.55,   0.18,  -1.02
UGCA092           , 043200.3+633650, 10, -15.74,  -1.57,   0.52,  -0.07,       ,       ,       
NGC1560           , 043249.9+715252,  7, -16.34,  -1.43,   0.11,   0.47,  -1.34,   0.20,   0.38
NGC1637           , 044128.2-025129,  6, -18.68,  -0.48,  -0.41,  -0.38,       ,       ,       
CamB              , 045306.9+670557, 10, -11.95,  -3.29,  -0.24,   0.54,       ,       ,       
NGC1705           , 045413.7-532141,  9, -16.12,  -0.98,   0.54,  -0.83,  -0.98,   0.54,  -0.83
HIPASS J0457-42   , 045658.7-424814, 10, -14.81,  -2.25,  -0.29,   0.48,       ,       ,       
NGC1744           , 045958.2-260136,  7, -18.75,  -0.59,   0.13,   0.07,  -0.20,   0.52,  -0.32
ESO486-021        , 050319.7-252523,  9, -15.77,  -1.48,  -0.09,   0.08,  -1.33,   0.06,  -0.07
NGC1800           , 050625.7-315715,  9, -16.45,  -1.25,  -0.15,  -0.49,  -1.26,  -0.16,  -0.48
UGCA105           , 051415.1+623451,  8, -16.98,  -1.23,  -0.24,   0.01,  -1.07,  -0.08,  -0.15
HIPASS J0517-32   , 051721.6-324535,  9, -14.19,       ,       ,       ,  -2.14,   0.07,   0.16
KKH30             , 051742.0+813727, 10, -11.08, <-4.77, <-1.32,       ,  -4.13,  -0.68,       
LMC               , 052334.6-694522,  9, -17.93,  -0.52,   0.19,  -0.69,       ,       ,       
UGC03303          , 052459.5+043018,  8, -16.00,  -1.11,   0.27,  -0.24,       ,       ,       
ESO553-046        , 052705.7-204041,  9, -14.72,  -1.25,   0.72,  -1.16,  -1.61,   0.36,  -0.80
KK49              , 054141.5+064054,  9, -16.37,  -0.61,   0.28,  -0.95,       ,       ,       
Orion             , 054502.0+050406,  8, -17.06,  -1.04,   0.37,   0.15,       ,       ,       
GALFA Dw4         , 054544.8+104616, 10, -13.77,  -2.06,   0.32,  -1.00,       ,       ,       
A0554+07          , 055736.7+072931, 10, -14.10,  -2.41,  -0.17,   0.34,       ,       ,       
KKH34             , 055941.2+732539, 10, -13.29,  -3.51,  -0.94,   0.79,  -3.51,  -0.94,   0.79
ESO364-029        , 060545.4-330454,  9, -16.31,  -1.37,  -0.36,   0.03,       ,       ,       
HIPASS J0607-34   , 060719.7-341216,  9, -16.08,  -1.66,  -0.21,   0.11,       ,       ,       
NGC2188           , 061009.5-340622,  8, -17.78,  -0.83,  -0.06,  -0.32,       ,       ,       
ESO121-020        , 061554.5-574335, 10, -13.82,       ,       ,       ,  -2.33,   0.03,   0.40
LV J0616-5745     , 061609.2-574555, 10, -12.05,       ,       ,       ,  -2.91,   0.15,   0.40
UGCA127sat        , 062054.8-083901, 10, -16.28,  -2.04,  -0.67,       ,       ,       ,       
UGCA127           , 062055.7-082944,  6, -19.95,   0.12,   0.26,  -0.65,       ,       ,       
WHI B0619-07      , 062213.8-075016,  8, -17.75,  -1.45,  -0.76,   0.52,       ,       ,       
N2146sat          , 062413.2+775753, -1, -11.18, <-4.73, <-2.02,       ,  -4.37,  -1.66,       
ESO489-056        , 062617.0-261556, 10, -13.58,  -2.55,  -0.10,   0.04,       ,       ,       
HIPASS J0630+08   , 063009.2+082116, 10, -12.50,  -4.26,       ,   1.87,       ,       ,       
UGC03475          , 063028.8+393014,  6, -17.31,  -1.03,   0.17,   0.41,       ,       ,       
UGC03476          , 063029.2+331807, 10, -15.51,  -1.36,   0.32,   0.14,       ,       ,       
ESO490-017        , 063756.6-255959, 10, -15.34,  -1.70,   0.31,  -0.27,       ,       ,       
CGMW1-260         , 063800.1-150122,  8, -18.26,  -1.24,  -0.54,   0.08,       ,       ,       
UGC03501          , 063838.4+491530, 10, -14.75,  -2.26,  -0.28,   0.70,  -1.65,   0.33,   0.09
Carina            , 064136.7-505758, -3,  -8.97,       ,       ,       ,  -7.58,  -3.98,   1.35
IC2171            , 064427.3-175557,  8, -16.73,  -1.14,  -0.05,  -0.35,       ,       ,       
NGC2283           , 064552.7-181237,  6, -18.88,  -0.12,   0.18,  -0.31,       ,       ,       
KKSG9             , 064656.9-175629,  9, -15.67,  -1.87,  -0.45,   0.64,       ,       ,       
KKH37             , 064745.8+800726, 10, -11.61,  -3.84,  -0.60,   0.68,  -3.49,  -0.25,   0.33
KKH38             , 064754.9+473050, 10, -13.04,  -2.50,   0.17,   0.82,       ,       ,       
UGC03600          , 065540.0+390542,  8, -14.25,  -2.44,  -0.36,   0.64,  -1.96,   0.12,   0.16
HIZSS003B         , 070024.7-041318, 10, -14.77,  -1.90,   0.08,  -0.37,       ,       ,       
HIZSS003          , 070029.3-041230, 10, -15.77,  -2.97,  -1.39,   1.44,       ,       ,       
FG202             , 070517.1-583114, 10, -14.18,  -2.13,   0.08,   0.60,       ,       ,       
HIPASS J0705-20   , 070545.0-205930,  0,       ,  -2.75,       ,   1.53,       ,       ,       
ESO558-011        , 070656.8-220226,  8, -16.63,  -1.75,  -0.62,  -0.19,       ,       ,       
NGC2337dwTBG1     , 070829.7+443726,  9, -12.22,       ,       ,       ,  -3.41,  -0.41,       
UGC03698          , 070918.8+442248, 10, -15.27,  -1.85,  -0.07,   0.23,  -1.82,  -0.04,   0.20
NGC2337           , 071013.6+442725,  9, -17.38,  -0.62,   0.18,  -0.29,  -0.77,   0.03,  -0.14
UGC03755          , 071351.8+103119, 10, -15.74,  -1.81,  -0.11,   0.22,  -1.71,  -0.01,   0.12
UGC03817          , 072244.5+450630, 10, -14.14,  -2.20,  -0.50,   0.50,  -2.17,  -0.47,   0.47
DDO043            , 072817.2+404613, 10, -15.23,  -1.90,   0.10,   0.41,  -1.71,   0.29,   0.22
NGC2366           , 072854.6+691219,  9, -16.11,  -0.95,   0.49,  -0.29,  -1.12,   0.32,  -0.12
