,Coordinates.ra,Coordinates.dec,a26,b/a,AB,FUVmag,Bmag,Hamag,Kmag,21mag,TType,RVel,Dis,A26,inc,Vm,AB_int,SBB,logKLum,logM26,logMHI,VLG,Theta1,Theta5,Thetaj,mag_B,e_mag_B,mag_FUV,e_mag_FUV,mag_HI,e_mag_HI,mag_Ha,e_mag_Ha,mag_Ks,e_mag_Ks,cz,e_cz,W50,e_W50,DM,e_DM,SFRHa,PHa,FHa,SFRFUV,PFUV,FFUV,BMag,KLum,M26,MHI,SFR_0,StellarMass,av_SFR_theor,M_g
RVel,0.16556366448689408,-0.3434389563920652,-0.09992788799043367,-0.057577490804232676,-0.09591346558659211,-0.05435222382437741,0.07734609316846851,-0.15674075253767275,0.16273211115784147,0.12803185676553838,0.2899237696243794,1.0,0.6453685139498931,0.09715799189716248,0.008922056447493974,0.11530949637748236,0.061185732021891724,-0.3293403912561812,0.31639443873103634,0.2604195475437396,0.3141772677095492,0.9081250110245929,-0.3313791462136328,-0.3330607345332815,-0.18079649496558994,0.07714287592607276,0.11544768335693881,-0.05445055551725166,-0.09577832130869351,0.1293581365876264,-0.09863710227422207,-0.15690017178310953,-0.056806227221874644,0.09442428927837858,-0.1338280831766977,0.9975193999481645,0.045905172970852226,0.11717273420748664,-0.020659772862163184,0.5950522092539106,0.12424520767796486,0.41187683191246355,0.24410178589927942,-0.187477959774233,0.33529058621920305,0.20233373426604265,-0.11980195069931128,-0.34120956655669615,0.044190920991328965,0.03783297761830813,0.01198970738130023,0.35514434638894793,0.044190920991328986,0.04419092099132903,0.0119897073813002
Dis,0.06225063811739149,0.10375554633902902,-0.14090124229318188,-0.05312580482403768,-0.04833156285593663,-0.02838382974195952,0.1376254015620546,-0.10909294392330629,0.19973591420909728,0.05939450443906367,0.1906098587718397,0.6453685139498931,1.0,0.16377616112112606,-0.00796521597830445,0.1856877693045528,0.06959620745752294,-0.21275270597106044,0.3821131989198624,0.39138039965974397,0.49206980981479637,0.6734426573875518,-0.363524579042003,-0.3677680351995712,-0.17475081644070278,0.1374317384331262,-0.07141248523281876,-0.028660106082339463,-0.07718283337653312,0.0625909539866242,-0.09810855700057435,-0.10927357779199534,-0.06383909487505272,0.07976623481550515,-0.1862370663569142,0.644659662621962,0.11603464805636797,0.17880071610803447,-0.049468131916979984,0.7718285454634787,0.15568495830017698,0.4433008890381328,0.2749289894782491,-0.15981994587364798,0.374678702756502,0.20133344237944842,-0.1868432622784376,-0.3633435344204042,0.06853221390326059,0.04409588847342574,0.08378212691412687,0.3825729553689254,0.06853221390326067,0.06853221390326082,0.08378212691412676
A26,-0.013681858121949346,0.004256520384777519,0.1648924098369758,-0.2822304937180913,0.1309030295586362,-0.610022280765546,-0.6478261876791518,-0.628329691194043,-0.6685353907855967,-0.6438425837450515,0.085084848897544,0.09715799189716248,0.16377616112112606,1.0,0.147815637105893,0.8134859152631663,0.7208788242218962,-0.26255732110505875,0.7101667820036253,0.7337901342446271,0.5816118057674564,0.1091679538017828,-0.12515733154903788,-0.12445335763720591,-0.10265394736328602,-0.6478130312554318,-0.0521433012287347,-0.6100133721140407,-0.17147406490360387,-0.644268924179691,-0.1967119814599945,-0.6287061635279841,0.029387997528686895,-0.7342931854635675,-0.3337808123336592,0.09991649961425075,-0.03435404687979113,0.8229555274620348,0.20966283426157972,0.15377154557257816,-0.02669141499507386,0.6112905061663279,0.1276550978073374,-0.37470562008656705,0.6180692324833643,0.15948315754454145,-0.3860110833057816,-0.7143926699532209,0.7046374913768213,0.6936796543564636,0.7400787223496841,0.6195821331388406,0.7046374913768237,0.7046374913768239,0.7400787223496844
inc,-0.010879746652439235,-0.007368226557784666,0.04230360127159917,-0.9524268700259961,0.041046697254241524,-0.2716761635624021,-0.20486476828952604,-0.08780628956538197,-0.15245457520268546,-0.10329573856423824,0.238346623266405,0.008922056447493974,-0.00796521597830445,0.147815637105893,1.0,-0.05764240452027706,0.2578985405276606,0.053009157455243566,0.10115503478990104,-0.010578962586266328,0.0587405559929696,0.013509393157205571,-0.15344480350763579,-0.15061018972479534,-0.1183827421686275,-0.20537411797105826,0.11888008652862632,-0.27194294205743885,-0.1176447144202157,-0.1032510142901131,-0.06941455436246934,-0.08807242980972531,0.05323677939357155,0.017725988332280524,-0.019988467482091297,0.008440429886662163,-0.04805080127775229,0.13631086578400645,0.03231315202611589,-0.04740830059034012,-0.06734370302488786,0.10727803316350847,0.07348078531667875,-0.00506751873536539,0.23009143002945726,0.22652791315541823,-0.20130847733140764,-0.19252606357548327,0.03173435977006776,-0.013401387649591702,-0.011271152256604447,0.21046437650349178,0.03173435977006779,0.03173435977006789,-0.01127115225660441
Vm,0.017648055399709924,-0.04059157502765586,0.10098853360817325,-0.09485425007020197,0.08777330518084703,-0.5640367679326438,-0.6249094092688547,-0.6284487038580854,-0.656890880279715,-0.5949650613770915,-0.18277305484140272,0.11530949637748236,0.1856877693045528,0.8134859152631663,-0.05764240452027706,1.0,0.6890365972557252,-0.3905289102608554,0.7329796199542704,0.7934125765442871,0.5464257380770264,0.10762845647139238,-0.023757603595483078,-0.023019236001473535,-0.03635881154401911,-0.624861501305092,-0.1141655431231095,-0.5644161755132224,-0.15573484611625832,-0.5954474465293027,-0.16098588423164797,-0.6284440817205936,0.0022821313022717347,-0.757046448541964,-0.41332396373604147,0.11591194159610001,0.09049896838098294,0.943156706664618,0.3002090684360602,0.212038987073119,0.019763469317264918,0.6034267752146522,0.10699602901482586,-0.39186464974125557,0.5438221511300777,-0.008198715567626956,-0.32793905935969625,-0.6969996191113302,0.7613421515724362,0.8078782617032222,0.5661839036839663,0.5612091741945626,0.7613421515724351,0.7613421515724365,0.5661839036839658
AB_int,-0.0032558138906371723,-0.026150526891808325,0.11628270478552445,-0.4133513520134838,0.06115292349795416,-0.4297612705364938,-0.4658961996606175,-0.45656700739949635,-0.4937152849217684,-0.48701778551996355,0.03641224134463665,0.061185732021891724,0.06959620745752294,0.7208788242218962,0.2578985405276606,0.6890365972557252,1.0,-0.21916299402830128,0.4950367660730418,0.5681887229482723,0.41376761153667735,0.05270240205488446,-0.07592602894084806,-0.07380536368585888,-0.0869635854098311,-0.46610559740616125,-0.04663825783385037,-0.43003692684798234,-0.13575687340675716,-0.48735947996868517,-0.12222358227619601,-0.45657958867227044,0.00501637966860094,-0.5289481528211656,-0.29466192215902476,0.06300102806924573,-0.02878197009025946,0.8306049818280005,0.24281426744727724,0.07305181472254263,-0.005574721721706902,0.434088619885032,0.10261554441518585,-0.2630334621662899,0.4445562071913001,0.12898257258794418,-0.2915212786277176,-0.5015263711030249,0.5236833688626671,0.5220729576852596,0.4293315351555261,0.44346569818888537,0.5236833688626671,0.5236833688626671,0.4293315351555258
SBB,-0.052795274339071316,0.01403986049483384,0.015507329364173069,0.030840051582900947,-0.1758424871748264,0.5021087443396541,0.44907048869891864,0.49854387618599666,0.37798702189365707,0.3421175132283135,-0.39055187363497296,-0.3293403912561812,-0.21275270597106044,-0.26255732110505875,0.053009157455243566,-0.3905289102608554,-0.21916299402830128,1.0,-0.6457529055116773,-0.5099050120076803,-0.5873485670454796,-0.2958626208385807,0.2694168753055971,0.2657625423045601,0.2105365059034374,0.4490386129823024,0.10623257151638331,0.5022892273893687,0.3549395506140829,0.3430128452329903,-0.0626794635754277,0.4983571437853573,0.08508509704867234,0.42306962331817266,0.28788263269880465,-0.32793085766055363,-0.08992073650607994,-0.3701892841484164,-0.086121770449158,-0.4186659301176986,-0.0011912031656215807,-0.621900283225821,-0.3137464649946789,0.5242512226021189,-0.5956727254892279,-0.3013931236206734,0.5967813801244741,0.650748113667836,-0.23693671555012796,-0.18622466007827831,-0.18578289060207703,-0.6101301915790887,-0.23693671555012855,-0.23693671555012827,-0.18578289060207684
logKLum,0.0202938300379748,0.027641488563602327,0.10347897698237504,-0.23272765112907715,0.19434965485811265,-0.6908779808516624,-0.7067645085848208,-0.7247080961747071,-0.7023400259132416,-0.6562575739446649,0.22331454478203833,0.31639443873103634,0.3821131989198624,0.7101667820036253,0.10115503478990104,0.7329796199542704,0.4950367660730418,-0.6457529055116773,1.0,0.9078984312264177,0.8192017646785749,0.32390894306510715,-0.3208982722486656,-0.32102237135926026,-0.18577785674803526,-0.7069499769060914,-0.17056847441850917,-0.6909350994387389,-0.3282194015834229,-0.6567548935575929,-0.1875830478136065,-0.7249582026277555,0.044089932557478444,-0.8599097795391843,-0.45347975866450535,0.31935165307781443,0.02223914962538486,0.7259363804669035,0.18320834314076295,0.5065115761233342,-0.03520644710433174,0.8304114550464184,0.19288919316501504,-0.5603787659732077,0.8137613084578948,0.1802103343086118,-0.5605536651036546,-0.9704632050125822,0.4732754518607598,0.43664684696714706,0.46765330363092195,0.8191185098494471,0.4732754518607607,0.47327545186076175,0.46765330363092195
logM26,0.03734022981954133,-0.04069064364085833,0.07968767991706169,-0.19131811016742012,0.13396585369675526,-0.7593758066979338,-0.6287281547529215,-0.7773480700293184,-0.5984455779101547,-0.7205461490156271,0.12565977096862474,0.2604195475437396,0.39138039965974397,0.7337901342446271,-0.010578962586266328,0.7934125765442871,0.5681887229482723,-0.5099050120076803,0.9078984312264177,1.0,0.8076009269829231,0.2666719986128775,-0.23921553348315622,-0.2426931184709763,-0.13331574953998515,-0.6288344300746007,-0.22268108721475768,-0.7596258190334003,-0.3131772921637356,-0.7210618437636676,-0.252950327299273,-0.7771394308362081,-0.10828203675792988,-0.7614773003660362,-0.4312722553946826,0.26073739037205446,0.15013510142563624,0.7708707618326311,0.27552108728806474,0.48733621841804386,-0.006179276956424386,0.8341655182720626,0.34927989741126303,-0.49987905249241443,0.8083578043794734,0.27621064988399624,-0.45064975759740844,-0.898972992975591,0.4495091100477741,0.43164515230063943,0.4728860325426412,0.8188609474568576,0.4495091100477742,0.4495091100477734,0.47288603254264056
logMHI,-0.02525558582375429,0.0801398652103327,0.009985415871888847,-0.228181990812699,0.07879880628007434,-0.7187563728156917,-0.4098950799761622,-0.7599802015661603,-0.33198319242890656,-0.7112575349533713,0.44623228013214045,0.3141772677095492,0.49206980981479637,0.5816118057674564,0.0587405559929696,0.5464257380770264,0.41376761153667735,-0.5873485670454796,0.8192017646785749,0.8076009269829231,1.0,0.3517359908408115,-0.3851437877256465,-0.3909618856842369,-0.2636635567741711,-0.4101730392747886,-0.2279140811437389,-0.718907762099022,-0.41955700512343513,-0.7024179931570286,-0.35801320910787265,-0.7598862139719634,-0.1961256939908173,-0.5316737651670902,-0.270390378941203,0.31392845345910736,0.03989017593069651,0.5405147624879488,0.12788145938009798,0.6849452711368489,-0.018286687180161004,0.9016446593411999,0.5757475434003247,-0.42927539160009237,0.912725007847122,0.6168562972241638,-0.42770302674539357,-0.8534596303574972,0.29383855644030116,0.2683341389097731,0.4139752049552992,0.9118500661678258,0.29383855644030055,0.29383855644030027,0.41397520495529855
VLG,0.1261588904693247,-0.04230641980945973,-0.13232926603462974,-0.061872632978691514,-0.03521818226501569,-0.06462120820681672,0.10119118667322227,-0.10862695211055709,0.18898768329977567,0.11460643405862175,0.3022401606823381,0.9081250110245929,0.6734426573875518,0.1091679538017828,0.013509393157205571,0.10762845647139238,0.05270240205488446,-0.2958626208385807,0.32390894306510715,0.2666719986128775,0.3517359908408115,1.0,-0.32989703624469335,-0.33254211987964166,-0.15880079652581167,0.10082232465880794,0.08329881338244062,-0.06473393835700336,-0.1235702990578562,0.11731758021924998,-0.06404664945169232,-0.10863518227002517,-0.08710388729837344,0.06170086707520807,-0.21982775775906094,0.9098392257908035,0.030646321389535405,0.1018917475274417,-0.07735095620565396,0.6423503762191356,0.15322977929775394,0.3729584880889872,0.234065868587341,-0.1660875478613502,0.34639824932338104,0.2358495826314877,-0.13561038865261993,-0.32723390116666046,0.04073530702222914,0.02798329911510171,0.033391250058555144,0.3548975639302244,0.04073530702222905,0.04073530702222905,0.03339125005855511
Theta1,-0.05035193294263681,0.02176860846518494,0.1252562021426122,0.2078304184537081,-0.04286102741951146,0.3461945234332989,0.12072538326645425,0.23145379811724195,0.023181059500610172,0.08993313601119825,-0.3832949341583636,-0.3313791462136328,-0.363524579042003,-0.12515733154903788,-0.15344480350763579,-0.023757603595483078,-0.07592602894084806,0.2694168753055971,-0.3208982722486656,-0.23921553348315622,-0.3851437877256465,-0.32989703624469335,1.0,0.9964116767186595,0.643384396644489,0.12084509253440076,0.06436561826992893,0.34623030235313523,0.18919210707051165,0.08439530172299714,-0.03162195056902871,0.23154714409601365,0.06291324179094707,-0.24609014083025188,-0.12774999073131965,-0.33452320980725664,0.049749930459505994,-0.03171199613209488,-0.02504672199532835,-0.39816545630623873,0.019846049012996393,-0.37197262042770923,-0.37874839294235724,0.2036012924486653,-0.4437718274435854,-0.39800284404929015,0.337550598464065,0.33378906988876106,0.015195335478236385,0.07321052638780112,-0.01074242904338956,-0.4204615511703067,0.015195335478236333,0.015195335478236321,-0.010742429043389564
Theta5,-0.04529762183511663,0.026643174953766807,0.1318389397151703,0.20540035112648886,-0.041430329186500345,0.34347498799940085,0.11323700008029881,0.23373302202371496,0.015730111312674856,0.09028147643803984,-0.3828516178025595,-0.3330607345332815,-0.3677680351995712,-0.12445335763720591,-0.15061018972479534,-0.023019236001473535,-0.07380536368585888,0.2657625423045601,-0.32102237135926026,-0.2426931184709763,-0.3909618856842369,-0.33254211987964166,0.9964116767186595,1.0,0.6359852912416198,0.11337994699443622,0.04969892218225372,0.34351639887130425,0.19531336074051572,0.08450804674425028,-0.03883000754516153,0.23384859995873788,0.06296851284465799,-0.24454670809868212,-0.14024347603397377,-0.33620244927654547,0.047089039146653654,-0.03101742148680738,-0.028859719525194102,-0.4074689253187893,0.022648503351060213,-0.37594560422492784,-0.381003921185053,0.20270373590837984,-0.44251635164833947,-0.3997309044509116,0.3325449390102089,0.33213285509906165,0.01722781138365959,0.07487367416548818,-0.00960190670704637,-0.42008825354626894,0.017227811383659548,0.017227811383659572,-0.009601906707046375
Thetaj,0.059392746327255795,0.008799490350771932,0.04423200161991328,0.1594746197115899,-0.020557695888070614,0.30406896601333616,0.11826273614738923,0.21260004522974799,0.03943817508908383,0.14637376900354102,-0.31572180508443576,-0.18079649496558994,-0.17475081644070278,-0.10265394736328602,-0.1183827421686275,-0.03635881154401911,-0.0869635854098311,0.2105365059034374,-0.18577785674803526,-0.13331574953998515,-0.2636635567741711,-0.15880079652581167,0.643384396644489,0.6359852912416198,1.0,0.1181736824975326,0.045737202414661275,0.3040364228779614,0.1451648576893378,0.14219639081916266,-0.15807429478877824,0.21271360236433887,0.10931523271017055,-0.14996920056311577,-0.03457195785377,-0.1799863174485291,0.03757184921474958,-0.03835473228266481,-0.04844716199387158,-0.19876799391346958,-0.005661042929178087,-0.28913889562747946,-0.3362989972100328,0.1698691418284963,-0.3395098664172843,-0.3381560795673341,0.31232699945354886,0.2348952450870373,-0.011622329734214537,0.0164143368133055,-0.04882131658384573,-0.3253097467138964,-0.011622329734214558,-0.01162232973421453,-0.04882131658384581
mag_B,-0.0046309446219305024,0.023924834103416986,-0.3549827721668918,0.2970782852240356,-0.000470785828145567,0.8261648184379984,0.999970496839653,0.792539727694405,0.9344325537614443,0.75379315181108,-0.2228810734679118,0.07714287592607276,0.1374317384331262,-0.6478130312554318,-0.20537411797105826,-0.624861501305092,-0.46610559740616125,0.4490386129823024,-0.7069499769060914,-0.6288344300746007,-0.4101730392747886,0.10082232465880794,0.12084509253440076,0.11337994699443622,0.1181736824975326,1.0,0.08330506726232242,0.8261175519296919,0.30911199921706073,0.7602248517811757,0.22298271128025499,0.7929813648609549,-0.057758178444742285,0.8891300567941959,0.40825117163519054,0.07478928509623535,0.0781519406249932,-0.6218065593592577,-0.19805907646273058,0.19018620921886814,0.08658467712399558,-0.6117440836876341,-0.08656514633015286,0.45001161621326674,-0.6407277302691559,-0.15313900634774272,0.5612669534490272,0.7721252435508875,-0.4049747122207237,-0.42057227819359166,-0.43022322580735856,-0.6110406090725695,-0.40497471222072334,-0.4049747122207241,-0.4302232258073576
