Name,FUVmag,TType,Tdw1,Tdw2,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
Dw0143+1338,>23.50,-2.0,Sph,L,7.78,,,,<-4.27
KK14,19.10,10.0,Ir,L,7.08,6.94,7.54,-3.50,-2.94
ESO245-005,13.80,9.0,Im,N,8.53,9.19,8.60,-1.59,-1.34
JKB142,19.50,10.0,Ir,N,7.01,7.59,7.65,-2.11,-2.81
KK15,19.90,10.0,Ir,L,6.98,6.05,7.21,-3.59,-3.02
N672dwB,>23.00,10.0,Ir,L,5.69,,,<-4.47,<-4.46
N672dwA,23.10,10.0,Ir,L,6.18,,,<-4.45,-4.48
IC1727,14.10,8.0,,,9.49,9.8,8.90,-1.10,-0.69
NGC0672,13.90,6.0,,,9.65,10.22,9.22,-0.70,-0.45
UGC01281,15.50,7.0,,,8.57,9.45,8.28,-1.94,-1.61
Phoenix,16.40,10.0,Tr,L,6.07,7.32,<5.21,,-4.43
KK16,18.80,10.0,Ir,N,7.35,6.2,6.86,-3.43,-3.00
KK17,19.70,10.0,Ir,L,7.02,6.08,6.76,-3.53,-3.51
NGC0784,14.40,8.0,,,8.67,9.26,8.53,-1.46,-1.33
UGC01561,17.20,9.0,Im,N,8.52,8.18,7.84,-1.89,-1.89
Cas1,,10.0,Ir,N,9.03,8.87,8.38,-1.08,
UGC01703,>23.00,-2.0,Tr,N,7.59,,<6.32,-4.83,<-4.83
TriangulumII,,-2.0,Sph,X,3.45,5.05,,<-9.16,
NGC0855,16.50,0.0,dS0em,N,9.37,9.24,8.45,-1.11,-1.59
Dw0214+2836,20.80,10.0,Irr,L,6.73,,,,-3.37
Segue2,21.00,-3.0,Sph,X,3.88,5.11,,<-9.14,-7.92
[TT2009]25,22.90,10.0,Tr,L,7.23,,,<-4.35,-4.12
UGC01807,16.70,8.0,Sm,,8.81,10.27,8.56,-1.80,-1.65
NGC0891,15.20,3.0,,,10.98,11.33,9.66,-0.09,-0.28
[TT2009]30,23.10,10.0,Ir,L,7.4,,,<-4.23,-4.21
KKH11,,10.0,Ir,N,8.17,8.88,8.19,-2.18,
[KK2000]03,>23.00,-3.0,Tr,L,7.59,,<5.65,,<-5.65
DDO019,16.60,10.0,Ir,L,8.03,9.31,8.34,-1.82,-1.65
d0226+3325,,10.0,Ir,X,7.34,8.86,8.02,-4.58,
NGC0925,12.70,7.0,,,10.14,10.66,9.60,-0.01,0.12
Halogas,20.00,10.0,Ir,L,7.14,6.24,7.53,-2.79,-3.00
KKH12,,10.0,Ir,L,8.21,8.41,7.77,-1.90,
DDO022,18.30,10.0,Ir,N,8.07,8.44,8.11,-2.32,-2.38
DDO025,15.90,8.0,,,8.89,8.98,8.43,<-1.66,-1.30
DDO024,,8.0,,,8.97,9.01,8.74,<-1.56,
MB1,,10.0,Ir,L,9.0,8.43,8.04,-1.75,
Maffei1,,-3.0,,,10.76,,,<-2.45,
ESO115-021,14.80,7.0,,,8.75,9.51,8.58,-1.63,-1.44
Fornax,20.70,-3.0,Sph,L,7.55,5.87,<5.19,,-7.16
Maffei2,,4.0,,,11.21,10.71,9.40,-0.76,
UGC02172,,10.0,Ir,N,8.32,8.62,7.87,-0.94,
AGC122226,,9.0,BCD,N,7.41,7.25,7.46,-2.30,
AGC124635,19.20,10.0,Ir,L,6.55,6.19,7.20,,-2.63
AGC123352,21.50,10.0,Ir,L,6.91,6.38,7.18,-2.86,-3.14
Dw2,,10.0,Ir,N,8.96,9.05,8.61,-1.87,
MB3,,10.0,Ir,N,8.61,,,<-3.54,
ESO154-023,13.90,8.0,,,8.93,9.65,9.14,-1.32,-1.00
Dw1,,3.0,,,10.64,10.16,9.24,-0.62,
AGC124056,>23.00,10.0,Ir,L,6.67,6.1,6.79,<-1.73,<-4.18
ESO199-007,17.80,10.0,Ir,N,7.27,7.12,7.25,,-2.71
GALFADw3,18.80,10.0,Ir,L,7.04,5.98,6.84,-3.42,-2.53
NGC1156,14.50,8.0,,,9.2,9.46,8.71,-0.59,-0.58
N1156dw1,>23.00,10.0,Ir,L,6.65,,,<-4.10,<-3.76
N1156dw2,21.70,10.0,Ir,L,6.51,,,<-4.24,-3.21
LVJ0300+2546,22.60,10.0,Ir,N,7.34,6.41,6.20,-3.09,-3.41
PerseusI,,-2.0,dSph,X,6.8,5.87,,<-6.38,
dw0301+2446,>23.00,10.0,Ir,L,6.67,,,,<-3.95
KKH18,18.40,10.0,Ir,N,7.28,7.36,7.14,-3.21,-2.57
N1291-DW9,>23.00,-1.0,Sph,L,7.02,,,,<-4.50
ESO300-014,15.00,8.0,,,9.3,10.0,8.65,-1.42,-1.07
ESO300-016,17.40,10.0,Ir,N,8.0,8.15,7.91,-2.72,-2.20
N1291-DW11,20.70,10.0,Ir,L,6.86,,,,-3.54
N1291-DW2,>23.00,-1.0,Sph,L,7.34,,,,<-4.60
N1291-DW8,>23.00,-1.0,Sph,L,7.95,,,,<-4.47
NGC1291,14.30,1.0,,,10.97,9.78,9.01,-0.38,-0.98
N1291-DW3,>23.00,-1.0,Sph,L,7.68,,,,<-4.68
N1291-DW5,>23.00,-1.0,Sph,L,7.99,,,,<-4.35
NGC1313,11.50,7.0,,,9.57,10.46,9.29,-0.27,-0.09
N1291-DW6,>23.00,-1.0,Sph,L,7.18,,,,<-4.56
N1291-DW12,>23.00,-1.0,Sph,L,6.41,,,,<-4.65
N1291-DW1,>23.00,-1.0,Sph,L,7.38,,,,<-4.46
N1291-DW15,21.70,10.0,Ir,L,6.3,,,,-3.95
N1291-DW4,23.70,-1.0,Sph,L,7.67,,,,-4.81
NGC1311,15.00,8.0,,,8.43,9.05,8.04,-1.55,-1.67
UGC02684,17.80,10.0,Ir,N,7.65,8.83,7.99,-2.76,-2.19
N1291-DW13,>23.00,-1.0,Sph,L,6.8,,,,<-4.69
KK27,19.90,10.0,Ir,L,7.04,6.03,5.92,,-3.67
[KK2000]08,19.60,9.0,Ir,N,7.51,,,,-3.14
ESO301-010,>23.00,-1.0,dE,N,8.2,,,,<-4.61
UGC02716,17.10,8.0,,,8.38,8.23,7.71,-2.23,-1.95
N1291-DW14,20.60,10.0,Ir,L,6.6,,,,-3.51
N1291-DW10,>23.00,-1.0,Sph,L,7.51,,,,<-4.50
UGC02773,,9.0,Im,N,9.24,9.08,8.51,-0.57,
IC1959,14.50,8.0,,,8.49,9.42,8.38,-1.38,-1.18
PGC013294,17.60,10.0,Ir,N,7.54,,<7.10,,-2.50
NGC1400,17.50,-3.0,,,10.99,,,-0.66,-1.21
KKH22,>23.00,10.0,Tr,L,6.7,,<6.36,<-4.92,<-4.15
KK35,19.10,10.0,Ir,N,8.2,,,-1.39,-1.69
IC0342,12.80,6.0,,,10.6,11.15,10.16,>-0.26,0.60
UGC02905,18.70,10.0,Ir,N,8.02,7.93,7.56,-2.59,-2.13
UGCA086,,8.0,,,9.13,,,-1.14,
IC2038,17.20,7.0,,,9.08,9.33,9.20,,-1.46
NGC1533,17.00,0.0,,,10.85,10.89,9.76,-0.28,-1.26
ESO483-013,16.20,9.0,BCD,N,8.72,8.68,7.63,-1.82,-1.80
CamA,20.10,10.0,Ir,L,7.79,8.14,8.14,-2.91,-3.43
NGC1592,14.50,10.0,Ir,N,8.17,8.68,7.99,-1.28,-0.98
NGC1569,15.60,8.0,,,9.4,9.25,8.30,-0.08,-0.55
UGCA092,,10.0,Ir,L,8.04,8.44,8.23,-1.57,
NGC1560,14.70,7.0,,,8.6,9.47,8.91,-1.43,-1.34
NGC1637,,6.0,,,10.07,10.4,9.01,-0.48,
CamB,,10.0,Ir,L,7.09,6.16,7.12,-3.29,
NGC1705,13.40,9.0,BCD,N,8.62,9.26,8.06,-0.98,-0.98
HIPASSJ0457-42,,10.0,Ir,N,8.18,8.29,8.10,-2.25,
NGC1744,13.30,7.0,,,9.42,10.38,9.35,-0.59,-0.20
ESO486-021,15.60,9.0,BCD,N,8.74,8.9,8.47,-1.48,-1.33
NGC1800,14.70,9.0,BCD,N,9.04,8.7,8.13,-1.25,-1.26
UGCA105,15.10,8.0,,,9.14,9.58,8.65,-1.23,-1.07
HIPASSJ0517-32,17.30,9.0,Im,H,7.93,8.33,7.89,,-2.14
KKH30,21.20,10.0,Tr,L,6.68,,,<-4.77,-4.13
LMC,,9.0,Im,N,9.42,9.44,8.66,-0.52,
UGC03303,,8.0,,,8.75,10.26,8.52,-1.11,
ESO553-046,15.50,9.0,BCD,N,8.17,8.49,7.46,-1.25,-1.61
KK49,,9.0,BCD,N,9.24,8.77,8.31,-0.61,
Orion,,8.0,,,8.73,9.66,8.98,-1.04,
GALFADw4,,10.0,Ir,N,7.76,7.78,6.81,-2.06,
A0554+07,,10.0,Ir,N,7.89,8.24,7.80,-2.41,
KKH34,22.10,10.0,Ir,L,7.57,6.33,7.15,-3.51,-3.51
ESO364-029,,9.0,Im,N,9.12,9.31,8.53,-1.37,
HIPASSJ0607-34,,9.0,BCD,N,8.69,9.19,8.32,-1.66,
NGC2188,,8.0,,,9.37,9.51,8.72,-0.83,
ESO121-020,17.00,10.0,Ir,N,7.78,8.08,7.94,,-2.33
LVJ0616-5745,18.50,10.0,Ir,N,7.07,7.5,7.36,,-2.91
UGCA127sat,,10.0,Ir,L,8.76,,,-2.04,
UGCA127,,6.0,,,10.0,10.8,9.34,0.12,
WHIB0619-07,,8.0,,,9.45,9.72,8.94,-1.45,
N2146sat,21.90,-1.0,Tr,L,7.42,,,<-4.73,-4.37
ESO489-056,,10.0,Ir,N,7.68,6.04,7.36,-2.55,
HIPASSJ0630+08,,10.0,Ir,N,,,7.48,-4.26,
UGC03475,,6.0,,,8.94,10.11,9.25,-1.03,
UGC03476,,10.0,Ir,N,8.46,8.98,8.65,-1.36,
ESO490-017,,10.0,Ir,N,8.13,8.22,7.90,-1.70,
CGMW1-260,,8.0,,,9.44,10.14,8.71,-1.24,
UGC03501,18.00,10.0,Ir,N,8.15,8.62,8.31,-2.26,-1.65
Carina,21.40,-3.0,Sph,X,6.54,5.85,<3.64,,-7.58
IC2171,,8.0,,,9.05,9.29,8.38,-1.14,
NGC2283,,6.0,,,9.84,10.39,9.44,-0.12,
KKSG9,,9.0,BCD,N,8.72,9.42,8.64,-1.87,
KKH37,19.00,10.0,Ir,N,6.9,6.12,6.71,-3.84,-3.49
KKH38,,10.0,Ir,L,7.47,8.55,8.19,-2.50,
UGC03600,17.60,8.0,,,8.05,8.99,8.07,-2.44,-1.96
HIZSS003B,,10.0,Ir,N,8.16,7.27,7.60,-1.90,
HIZSS003,,10.0,Ir,N,8.56,8.47,8.34,-2.97,
FG202,,10.0,Ir,L,7.92,8.51,8.34,-2.13,
HIPASSJ0705-20,,0.0,,,,,8.65,-2.75,
ESO558-011,,8.0,,,9.0,9.41,7.93,-1.75,
NGC2337dwTBG1,21.50,9.0,Im,L,7.14,,,,-3.41
UGC03698,17.60,10.0,Ir,N,8.36,8.1,8.25,-1.85,-1.82
NGC2337,15.20,9.0,Im,N,9.34,9.96,8.96,-0.62,-0.77
UGC03755,16.40,10.0,Ir,N,8.43,7.97,8.28,-1.81,-1.71
UGC03817,17.90,10.0,Ir,L,8.43,7.97,8.17,-2.20,-2.17
DDO043,16.80,10.0,Ir,N,8.13,8.16,8.38,-1.90,-1.71
NGC2366,12.70,9.0,Im,N,8.7,9.17,8.63,-0.95,-1.12
ESO059-001,,9.0,Im,N,8.17,9.1,8.00,-2.15,
DDO044,22.50,-3.0,Sph,L,7.78,,<6.02,-5.19,-5.07
AGC174585,,10.0,Ir,N,6.94,5.95,6.89,-3.38,
NGC2403,10.70,6.0,,,9.86,10.71,9.26,-0.15,-0.08
LVJ0737+4724,20.00,10.0,Ir,N,7.61,7.71,7.76,-2.83,-2.48
