Name,FUVmag,TType,Tdw1,Tdw2,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
[KKH2011]S11,22.50,-3.0,Sph,L,6.63,,,,-4.21
NGC4288,14.70,7.0,,,8.63,9.76,8.63,-1.23,-1.10
KK136,,-3.0,Sph,N,8.37,,,<-3.69,
CVnHI,24.40,11.0,Ir,X,,,6.58,,-5.15
VCC0429,19.30,9.0,BCD,,7.13,7.09,6.57,,-3.13
KUG1218+387,16.90,9.0,BCD,N,7.86,7.54,7.65,-2.79,-2.19
d1220+4649,23.60,-3.0,Sph,L,7.02,,,,-4.80
DDO120,16.20,9.0,Im,N,8.73,8.16,8.04,-4.14,-1.94
PGC1853813,21.00,-2.0,dE,N,7.44,,,,-3.92
KDG104,20.50,10.0,Ir,L,7.61,6.39,7.06,,-3.38
HydraII,>23.00,-2.0,Sph,X,4.58,,<2.31,,<-7.99
KDG105,19.80,10.0,Ir,L,7.37,7.78,7.35,,-3.30
UGC7427,,10.0,Ir,N,7.89,7.67,7.76,-2.17,
NGC4308,20.60,-1.0,,,9.36,,,,-3.08
KK138,>23.00,10.0,Tr,L,6.41,,<6.25,<-4.66,<-4.75
KKSG27,18.30,9.0,Im,L,6.88,6.14,7.36,,-2.76
GR34,19.00,10.0,Ir,L,7.88,6.89,6.97,-3.45,-2.82
PGC4323538,>23.00,-1.0,dEn,N,7.74,,,,<-4.78
VCC0565,19.20,10.0,Ir,N,7.5,7.07,7.06,-3.34,-2.85
KK141,18.20,10.0,Ir,N,7.11,6.81,7.26,-2.76,-2.61
PGC40195,21.40,-2.0,dEn,N,7.74,,,,-4.17
IC3247,18.20,7.0,,,9.26,9.94,8.52,,-1.28
BTS132,23.60,-3.0,Sph,L,7.36,,,,-4.86
BTS133,18.60,10.0,Ir,L,7.05,7.13,7.51,,-2.71
PGC5059199,,10.0,Ir,L,5.25,7.28,6.06,-4.72,
N4258dwB,>23.00,-2.0,Sph,L,7.42,,,,<-4.61
UGC07485,17.90,9.0,BCD,N,8.12,7.77,7.12,,-2.51
Dw1224+3938,23.40,10.0,Tr,L,6.59,,,,-4.61
IC3308,,8.0,,,8.53,9.31,8.57,-1.84,
KK144,17.30,10.0,Ir,L,7.24,7.64,7.84,-3.28,-2.50
UGC07512,17.40,10.0,Ir,N,8.35,8.7,8.36,-2.35,-1.97
VCC0841,19.00,9.0,Im,N,7.84,7.84,7.01,,-2.91
NGC4395,11.80,8.0,,,9.47,10.09,9.08,-0.75,-0.47
DDO123,,8.0,,,8.62,9.19,8.88,>-1.80,
UGCA281,15.30,10.0,Ir,N,7.82,8.15,7.77,-1.29,-1.78
SBS1224+533,17.40,9.0,BCD,N,7.42,,,>-2.88,-2.53
ComaI,>23.00,-3.0,Sph,X,4.24,5.01,<1.63,,<-9.11
DDO126,15.20,10.0,Ir,N,8.09,8.44,8.03,-2.06,-1.85
DDO125,15.00,9.0,Im,N,8.06,7.23,7.44,-2.84,-2.32
UGC07584,17.20,9.0,BCD,N,7.74,7.65,7.78,-2.46,-2.10
KKH80,18.30,10.0,Ir,L,7.18,6.26,6.95,-4.21,-2.85
NGC4449,11.00,8.0,,,9.68,9.54,8.65,-0.20,-0.24
DDO127,16.20,10.0,Ir,N,7.64,8.17,7.67,-3.30,-2.29
UGC07596,18.50,10.0,Ir,N,7.65,6.95,6.26,-4.06,-3.21
UGC07605,15.90,10.0,Ir,N,7.71,6.95,7.38,-2.56,-2.18
NGC4455,14.60,7.0,,,8.74,9.22,8.41,-1.40,-1.25
DDO129,14.90,8.0,,,8.81,9.08,8.59,-1.47,-1.22
LVJ1228+4358,>23.00,-1.0,Tr,L,7.93,,,<-5.01,<-5.13
NGC4460,15.70,1.0,,,9.66,9.31,8.08,-0.76,-1.47
KK149,17.50,10.0,Ir,N,8.15,8.27,7.73,-2.53,-2.26
Dw1229+4109,>23.50,-2.0,Sph,L,7.17,,,,<-4.65
UGC07639,16.20,9.0,Im,N,8.33,8.11,7.62,-2.94,-1.97
UGC07636,19.10,10.0,Ir,N,7.76,6.63,6.17,,-3.35
UGC07642,17.00,9.0,Im,N,8.15,7.87,7.73,-2.19,-1.95
KK151,17.30,9.0,Im,N,7.79,7.61,7.50,-2.77,-2.25
NGC4485,13.70,8.0,,,8.99,9.7,8.94,-0.70,-0.62
AGC229379,22.00,10.0,Ir,L,6.55,5.88,6.70,,-4.20
NGC4490,12.20,7.0,,,10.28,10.14,9.59,0.28,0.08
AGC724906,19.40,10.0,Ir,N,7.09,6.47,7.02,-4.42,-3.18
CGCG014-054,17.80,9.0,Im,N,7.89,8.19,7.68,-3.62,-2.33
MAPS1231+42,19.40,10.0,Ir,N,6.98,5.94,6.51,,-3.09
DDO131,16.50,10.0,Ir,N,7.9,8.61,7.98,-2.18,-2.03
UGC07678,15.60,9.0,Im,N,8.24,8.63,8.10,-1.69,-1.50
ComaP,19.40,10.0,Ir,L,7.18,7.25,8.13,,-2.79
UGC07690,14.90,8.0,,,8.66,9.2,8.44,-1.40,-1.17
AGC229089,17.90,9.0,Im,N,7.29,7.24,7.13,,-2.67
dw1232+0015,25.50,-1.0,dE,N,8.07,,,,-4.84
NGC4517,15.90,7.0,,,10.27,10.8,9.22,-0.12,-0.68
UGC07699,14.80,7.0,,,9.19,10.04,9.03,-0.87,-0.46
DDO133,14.80,9.0,Im,L,8.24,8.73,8.25,-1.99,-1.73
NGC4509,15.20,9.0,BCD,H,8.72,8.39,7.98,-1.21,-1.26
BTS142,20.20,10.0,Ir,L,6.9,7.17,7.15,,-3.27
KDG155,20.50,10.0,Ir,L,7.55,8.26,7.65,,-3.52
KK152,17.50,10.0,Ir,N,7.74,7.68,7.84,-2.72,-2.18
PGC041749,16.90,9.0,Im,N,7.67,7.53,8.10,-2.48,-1.95
UGC7719,16.10,8.0,,,8.21,8.61,8.22,-1.77,-1.69
NGC4534,14.00,8.0,,,8.82,9.59,9.00,-0.96,-0.73
UGC07748,16.50,9.0,Im,N,7.68,8.16,7.77,,-1.88
UGC7751,17.70,9.0,Im,N,7.49,7.9,7.58,-3.09,-2.43
LVJ1235-1104,16.80,10.0,Ir,H,8.04,8.55,7.44,,-1.80
NGC4559,12.30,6.0,,,10.2,10.63,9.52,0.14,0.19
UGC07774,16.50,7.0,,,9.6,10.17,9.36,-1.04,-0.55
VCC1675,17.80,9.0,BCD,N,8.22,7.74,6.77,-3.14,-2.51
dw1236-0025,21.10,10.0,Irr,L,6.64,,,,-3.64
IC3583,15.40,9.0,Im,N,8.8,9.34,8.02,-1.63,-1.24
MAPS1236+33,18.90,10.0,Ir,N,7.26,6.99,7.08,,-2.97
Dw1237+3304,23.70,-2.0,Sph,N,8.05,,,,-4.58
IC3591,16.10,9.0,BCD,N,8.66,8.88,8.24,-1.19,-1.58
dw1237-1125,>23.00,-2.0,dE,L,7.25,,,,<-4.55
AGC220847,18.00,9.0,BCD,N,7.65,7.92,7.18,,-2.52
KKSG29,18.90,10.0,Ir,L,7.67,7.55,7.22,,-2.70
Arp211,16.00,10.0,Ir,N,7.56,6.9,7.29,-2.61,-1.98
VCC1713,17.90,9.0,Im,N,7.66,6.59,7.08,-3.66,-2.60
KKSG30,19.00,10.0,Ir,N,7.76,7.72,7.35,,-2.74
VCC1725,16.00,9.0,BCD,N,8.48,8.63,7.60,-2.10,-1.66
Dw1238+3337,20.90,10.0,Tr,N,7.52,,,,-3.41
AGC724993,19.30,9.0,Im,N,7.36,8.07,7.30,,-2.97
KKSG31,>23.00,-3.0,Sph,L,7.88,,<7.01,,<-4.36
UGCA292,16.30,10.0,Ir,L,6.79,6.88,7.49,-2.48,-2.53
KDG171,19.10,10.0,Irr,L,7.24,,,,-2.95
dw1239+3230,21.30,10.0,Irr,N,6.56,,,,-3.97
dw1239-1159,>23.00,-1.0,Sph,L,7.31,,,,<-4.20
N4594DW1,>21.70,-2.0,dE,N,8.27,,,,<-3.81
NGC4592,14.00,8.0,Sdm,,9.16,10.02,9.45,,-0.39
N4594-DGSAT-3,>23.00,-3.0,Sph,L,7.31,,<6.85,,<-4.47
UGC07827,16.90,10.0,Ir,N,7.82,8.17,8.15,-1.81,-2.02
SombreroDwA,>23.00,-3.0,Sph,L,7.06,,<7.03,,<-4.29
KKSG32,23.90,-3.0,Sph,L,7.85,,<6.96,,-4.72
KDG177,18.50,10.0,Ir,N,8.22,7.64,8.33,,-2.04
NGC4594,15.00,1.0,,,11.32,11.77,8.38,-1.00,-0.51
NGC4605,13.10,8.0,,,9.7,9.63,8.44,-0.66,-0.77
AGC749241,19.70,10.0,Ir,L,6.46,6.06,6.75,<-4.79,-3.54
dw1240-42,>23.00,-1.0,Sph,L,6.86,,<6.64,,<-5.03
BTS146,20.40,10.0,Ir,N,7.14,6.57,6.97,-4.62,-3.44
SUCD1,>23.00,-1.0,dE,H,7.39,8.33,<7.17,,<-4.43
KKSG33,>23.00,-3.0,Sph,L,7.59,,<7.01,<-3.42,<-4.31
dw1240-1118,24.40,-3.0,dE,N,8.33,,,,-4.98
KDG178,18.00,10.0,Ir,L,7.16,8.2,7.69,-3.51,-2.64
NGC4597,14.40,8.0,,,9.48,10.07,9.12,-0.75,-0.70
dw1240-1140,>23.00,-1.0,dSph,L,6.75,,,,<-5.02
NGC4600,20.40,0.0,dS0em,N,9.33,,<7.27,-1.92,-3.34
PGC4074723,19.50,10.0,Ir,L,6.77,,,,-3.20
HSC-9,>23.00,-1.0,Tr,L,7.07,,<6.83,,<-4.68
NGC4631dw1,22.00,10.0,Ir,X,7.29,,,,-4.26
Dw1241+4103,23.80,10.0,Tr,L,6.41,,,,-4.91
dw1241-1131,>23.00,-2.0,Sph,L,6.64,,,,<-4.57
SombreroDwB,>23.00,-3.0,Sph,L,7.63,,<7.15,,<-4.14
KKSG34,>23.00,-3.0,Sph,L,7.77,,<6.96,,<-4.33
dw1241-32,>23.00,-1.0,Sph,L,6.41,,<6.64,,<-5.06
NGC4618,13.00,6.0,,,9.62,9.59,8.87,-0.58,-0.54
AGC224291,18.80,9.0,Im,N,7.63,6.16,6.96,,-2.84
LVJ1241+3251,17.50,10.0,Ir,N,7.48,6.88,7.06,,-2.58
NGC4625,14.60,7.0,,,9.56,8.87,8.83,-0.89,-0.84
NGC4627,17.50,-3.0,,,9.46,,,-4.28,-2.47
NGC4631dw2,22.60,10.0,Ir,X,6.2,,,,-4.51
NGC4631,11.40,7.0,,,10.49,10.8,9.72,0.48,0.76
N4625A,>23.00,-1.0,Tr,L,7.34,,,,<-4.56
IC3687,14.80,10.0,Ir,N,8.19,8.68,7.90,-1.89,-1.75
HSC-10,>23.00,-1.0,Tr,L,6.83,,<6.83,,<-4.68
PGC042730,>23.00,-2.0,dE,N,8.72,,,,<-4.32
NGC4631dw3,>23.00,-2.0,Sph,X,6.84,,,,<-4.63
PGC42772,17.40,10.0,Ir,N,7.6,7.64,7.23,,-2.32
dw1243-42b,>23.00,10.0,Ir,N,6.26,,<6.64,,<-5.13
dw1243-42,>23.00,-1.0,Sph,L,6.68,,<6.64,,<-5.05
BTS151,>23.00,-2.0,Sph,L,7.78,,,,<-4.60
HSC-5,>23.00,-1.0,Sph,L,7.46,,,,<-4.28
KDG192,17.50,10.0,Ir,L,7.61,8.63,8.11,-2.42,-2.19
LVJ1243+4127,19.40,10.0,Ir,L,6.77,6.15,6.82,-4.76,-3.54
KK160,21.40,10.0,Ir,L,6.6,6.01,6.60,-4.88,-4.43
NGC4656,11.60,8.0,,,9.93,10.12,9.53,-0.18,0.33
NGC4656UV,13.50,10.0,Ir,N,8.88,9.31,7.61,-2.31,-0.77
[KK2000]51,>23.00,10.0,Tr,L,6.6,,<6.32,,<-5.01
DDO143,15.90,10.0,Ir,L,7.8,8.45,8.43,-1.63,-1.60
UGCA294,16.00,9.0,BCD,N,8.34,8.47,8.09,>-1.73,-1.57
IC3718,18.40,8.0,,,8.22,8.77,7.13,<-2.74,-2.81
UGC07929,19.90,9.0,Im-,N,6.96,,,,-3.86
Dw1245+6158,>23.50,10.0,Tr,L,6.41,,,,<-5.09
ESO381-020,15.60,10.0,Ir,L,7.95,8.79,8.37,-1.75,-1.77
AGC227970,18.40,9.0,Im,N,7.79,7.73,7.52,,-2.60
VCC2033,17.40,9.0,BCD,H,8.32,6.75,7.01,-2.29,-2.11
VCC2037,17.90,10.0,Ir,N,7.92,7.4,6.90,-2.54,-2.33
UGCA298,17.80,9.0,BCD,N,8.43,8.74,7.29,-1.65,-2.23
UGC07950,15.30,9.0,Im,N,8.36,8.65,8.05,-1.91,-1.41
DDO147,16.10,10.0,Ir,L,7.19,7.35,7.47,-3.31,-2.64
FGC1497,18.80,8.0,,,8.4,9.1,8.26,,-1.94
Dw1247-0824,17.80,9.0,BCD,N,8.08,9.13,,,-2.25
NGC4688,14.80,6.0,Scd,,8.5,9.05,8.52,,-1.41
KK164,17.40,8.0,Sm,,7.85,7.97,6.93,,-2.43
NGC4707,15.20,10.0,Ir,N,8.25,8.95,8.05,-1.90,-1.61
DDO148,17.40,8.0,,,8.83,8.65,7.82,-2.96,-2.16
KK165,>23.00,-1.0,Tr,L,7.74,,,,<-4.61
NGC4700,14.30,7.0,,,8.86,9.46,8.43,-1.74,-0.86
KK166,>23.00,-3.0,Tr,L,7.21,,,-4.88,<-5.09
MAPS1249+44,18.90,9.0,Im,N,7.2,7.35,7.06,,-2.95
LVJ1249+2155,18.80,10.0,Ir,N,7.01,6.93,7.18,,-2.94
UGC07983,18.10,10.0,Ir,N,7.27,7.03,7.50,,-2.88
EVCC2232,>23.50,-2.0,Sph,L,6.86,,,,<-5.00
UGC07990,,8.0,,,8.53,9.19,8.40,-2.39,
NGC4736,11.90,2.0,,,10.56,10.71,8.28,-0.43,-0.53
M94-Dw2,>23.00,-1.0,Sph,L,6.78,,,,<-5.05
BTS157,21.20,10.0,Ir,L,7.22,6.41,6.98,,-3.68
KK167,17.50,10.0,Ir,N,7.64,7.91,7.68,,-2.25
IC3840,17.70,10.0,Ir,N,7.41,7.4,7.28,-3.03,-2.62
dw1251-40,>23.00,-1.0,Sph,L,6.26,,<6.64,,<-5.03
dw1252-40,>23.00,-1.0,Sph,L,7.37,,<6.64,,<-5.04
Dw1252-0904,22.30,10.0,Irr,L,6.48,,,,-4.05
dw1252-43,>23.00,-1.0,Sph,L,6.3,,<6.64,,<-5.06
NGC4765,15.00,9.0,BCD,H,8.49,8.86,7.96,-1.56,-1.58
PGC3272767,21.60,9.0,BCD,H,5.93,,,,-4.38
KKSG38,18.00,10.0,Ir,N,7.55,7.99,7.36,,-2.26
KKSG39,21.90,10.0,Ir,L,6.57,6.35,7.08,,-4.21
DDO153,15.90,9.0,Im,N,8.42,8.83,8.64,-1.46,-1.49
DDO154,14.90,10.0,Ir,N,7.59,8.79,8.28,-2.52,-1.91
UGC08030,18.30,10.0,Ir,L,8.0,8.57,7.89,,-2.15
ESO443-009,18.40,10.0,Ir,L,7.11,7.25,7.16,,-2.80
dw1255+40,>23.00,-1.0,Sph,L,6.5,,,,<-5.16
KDG215,18.90,10.0,Ir,L,7.16,6.4,7.38,<-4.80,-3.33
ESO219-010,,-3.0,Sph,N,8.03,,<5.72,-3.11,
AGC221126,17.60,9.0,Im,N,7.54,8.73,8.13,,-2.28
KDG216,>23.00,-3.0,Tr,L,7.78,,<6.77,,<-4.80
UGC08061,18.00,10.0,Ir,N,8.12,8.67,7.90,-2.44,-2.12
NGC4826,13.90,2.0,,,10.49,10.7,8.27,-0.64,-1.03
CVnII,21.40,-3.0,Sph,X,4.59,4.98,<4.10,,-7.36
dw1257-41,>23.00,-1.0,Sph,L,7.13,,<6.64,,<-4.98
MCG-02-33-075,,8.0,,,8.48,8.73,7.57,-2.13,
dw1258-37,>23.00,-1.0,Sph,X,6.52,,<6.64,,<-5.17
GR8,15.40,10.0,Ir,N,6.84,7.15,6.92,-2.67,-2.62
HIPASSJ1258-04,16.80,10.0,Ir,N,7.82,7.81,7.67,-2.45,-2.24
NGC4861,13.60,9.0,Im,N,9.13,9.38,8.86,-0.25,-0.59
KK176,18.80,10.0,Ir,L,7.44,7.93,7.81,,-2.90
UGC08105,17.70,9.0,BCD,N,7.99,8.13,7.82,-1.51,-2.24
PGC1059300,18.10,10.0,Ir,N,6.69,,,,-3.24
dw1300+1843,>23.00,-1.0,Sph,L,6.72,,,,<-5.29
dw1301-30,>23.00,-1.0,Sph,X,6.72,,<6.91,,<-4.84
UGCA319,17.20,10.0,Ir,N,8.02,8.84,7.76,-3.30,-2.29
KK177,>23.00,-2.0,Sph,L,7.72,,,,<-4.93
dw1302-40,>23.00,-1.0,Sph,L,6.59,,<6.64,,<-5.02
dw1303+42,20.90,10.0,Ir,L,6.88,,,,-3.63
DDO161,14.60,8.0,,,8.74,9.59,8.83,-1.28,-1.05
ESO269-037,19.80,10.0,Ir,N,6.96,6.23,5.51,-4.40,-3.71
KK180,>23.00,-2.0,Sph,L,7.36,,,,<-5.06
KK182,18.10,10.0,Ir,N,7.49,7.48,7.65,-3.26,-2.56
NGC4945,,6.0,,,10.66,11.01,8.91,-0.03,
dw1305+41,21.60,10.0,Ir,L,7.28,,,,-3.91
KDG218,23.00,-1.0,Tr,L,8.51,,<7.41,,-4.05
IC4182,13.50,8.0,,,8.7,8.97,8.29,-1.60,-1.28
dw1305+38,21.50,10.0,Ir,L,7.03,,,,-3.86
DDO165,14.70,9.0,Im,N,8.23,8.43,8.08,-2.58,-1.66
dw1306-29,>23.00,-1.0,Sph,L,6.87,,<6.91,,<-4.77
MCG-03-34-002,16.80,9.0,BCD,N,8.1,8.44,7.72,-2.35,-1.86
UGC08215,17.70,10.0,Ir,N,7.18,6.16,7.28,-3.46,-2.95
UGC08245,16.80,9.0,Im,N,7.78,6.33,7.14,-3.02,-2.46
dw1308+40,>23.00,-1.0,Sph,L,7.54,,,,<-4.46
MCG-04-31-038,16.80,10.0,Ir,N,8.79,8.43,7.98,,-1.90
ESO269-058,16.70,9.0,Ir,L,8.86,8.77,7.37,-3.50,-2.38
dw1310+4153,>23.00,-1.0,Sph,L,6.9,,,,<-4.64
[KK2000]53,>23.00,-3.0,Sph,L,7.46,,<6.14,,<-5.19
Dw1311+4051,19.80,10.0,Irr,N,6.55,,,,-3.18
Dw1311+4317,>23.50,-2.0,Sph,L,7.21,,,,<-4.66
dw1312-4244,>23.00,-2.0,Sph,L,6.03,,,,<-5.00
NGC5023,14.80,7.0,,,9.01,9.93,8.58,-1.31,-0.96
NGC5055dwTBG1,>23.00,10.0,Tr,L,6.2,,,,<-4.45
dw1313-4246,>23.00,-2.0,Sph,L,5.98,,,,<-5.02
KK189,>23.00,-3.0,Sph,L,7.48,,<5.22,<-5.26,<-4.79
CGCG217-018,16.70,9.0,BCD,N,8.19,,,-2.01,-1.95
KKH82,20.50,10.0,Tr,L,7.77,,,-4.32,-3.61
dw1313+46,19.30,10.0,Ir,L,6.98,,,,-3.05
ESO269-066,>23.00,-1.0,Sph,L,8.42,,<4.92,<-5.39,<-4.96
NGC5011C,19.20,-1.0,Tr,N,7.98,,<7.16,,-3.36
DDO167,16.40,10.0,Ir,N,7.19,6.06,7.20,-2.87,-2.49
dw1313-4214,>23.00,-2.0,Sph,L,6.63,,,,<-5.01
KK191,23.40,10.0,Tr,L,6.83,,<6.49,<-4.46,-4.68
LVJ1313+1003,22.90,-1.0,Tr,L,7.42,,<6.31,,-5.16
UGC08313,16.30,8.0,Sm,,8.44,9.23,7.93,-1.54,-1.69
dw1314-28,>23.00,-1.0,Tr,L,7.25,,<6.91,,<-4.84
NGC5055dwTBG5,>23.00,-2.0,dSph,X,6.52,,,,<-4.47
DDO168,14.70,10.0,Ir,N,8.13,8.54,8.33,-2.13,-1.77
dw1315-4232,>23.00,-2.0,Sph,L,6.32,,,,<-5.00
DDO169NW,17.70,10.0,Ir,L,6.34,7.16,7.00,-3.58,-2.99
DDO169,15.80,10.0,Ir,N,7.73,8.22,7.75,-2.70,-2.22
KK193,24.30,10.0,Tr,L,7.03,,,,-4.90
dw1315-4309,>23.00,-2.0,Sph,X,5.74,,,,<-4.88
NGC5055,12.50,4.0,,,11.0,11.34,9.62,0.21,0.11
dw1316-4224,>23.00,-2.0,Sph,L,7.05,,,,<-4.97
CGCG189-050,,9.0,BCD,N,7.22,,,-2.60,
KK194,21.50,10.0,Ir,L,7.15,,,,-3.85
AGC239141,19.50,10.0,Ir,L,6.01,5.49,6.23,,-3.84
CenA-MM-Dw11,>23.00,-2.0,Sph,X,6.45,,,,<-4.94
dw1318-21,>23.00,-1.0,Sph,L,7.06,,<6.91,,<-4.77
dw1318-4233,>23.00,-2.0,Sph,X,6.4,,,,<-4.92
NGC5068,12.80,6.0,,,9.73,9.92,8.82,-0.32,-0.54
CenA-MM-Dw5,>23.00,-2.0,Sph,XL,5.59,,<6.49,,<-4.91
AGC732602,18.30,10.0,Ir,N,7.26,6.78,7.11,,-2.70
dw1321-27,>23.00,-1.0,Sph,X,6.79,,<6.91,,<-4.88
KK195,18.90,10.0,Ir,L,7.02,5.96,7.62,<-5.06,-3.09
[KK2000]54,>23.00,10.0,Tr,L,6.26,,<5.60,<-5.41,<-5.05
KK196,19.00,10.0,Ir,L,7.34,,<6.29,,-3.35
NGC5102,,1.0,,,9.7,10.14,8.47,-1.99,
KK197,>23.00,-3.0,Sph,L,8.23,,<5.46,<-5.31,<-4.74
dw1322-27,>23.00,-1.0,Tr,L,7.17,,<6.91,,<-4.87
[KK2000]55,>23.00,-3.0,Sph,X,7.81,,<6.30,<-5.31,<-4.76
dw1322-39,>23.00,10.0,Ir,L,6.12,,<6.47,,<-5.25
KK198,21.50,-3.0,Tr,L,9.4,,<7.88,<-3.17,-2.20
PGC725719,20.10,7.0,Sdm,,7.33,,,,-3.79
CenA-MM-Dw4,>23.00,-2.0,Sph,L,6.95,,<6.60,,<-4.79
KV19-212,>23.00,-1.0,dE,H,7.02,,,,<-4.92
AM1320-230,21.70,-3.0,Tr,L,7.46,,<5.83,<-5.17,-4.26
dw1323-40b,>23.00,-1.0,Sph,L,6.9,,<6.71,,<-4.93
CenA-MM-Dw10,>23.00,-2.0,Sph,X,5.81,,,,<-5.10
KK200,18.60,10.0,Ir,L,7.31,6.19,6.86,-4.26,-3.09
dw1323-40,>23.00,-1.0,Sph,L,7.01,,<6.67,,<-4.99
KV19-271,>23.00,-1.0,dE,H,7.12,,,,<-4.95
NGC5128,12.90,-2.0,,,10.89,11.69,8.44,-0.06,-0.65
dw1325-33,>23.00,-1.0,Tr,L,6.78,,<6.75,,<-4.87
UCD320,>23.00,-3.0,dE,H,7.13,6.7,,,<-4.97
UCD330,>23.00,-3.0,dE,H,7.42,7.84,,,<-4.95
CenA-MM-Dw6,>23.00,-2.0,Sph,XL,6.36,,<6.58,,<-4.84
dw1326-29,>23.00,-2.0,Sph,L,6.88,,<6.75,,<-4.83
dw1326-37,>23.00,-1.0,Tr,L,6.45,,<6.64,,<-5.13
CenA-MM-Dw7,>23.00,-2.0,Sph,XL,6.29,,<6.60,,<-4.82
KV19-329,23.10,-1.0,dE,H,7.03,,,,-5.05
dw1326-35,>23.00,10.0,Ir,L,6.14,,<6.75,,<-4.83
IC4247,16.50,10.0,Ir,N,8.25,7.55,7.59,-2.78,-2.18
dw1327+51,>23.00,-1.0,Sph,L,7.0,,,,<-4.54
KK203,>23.00,10.0,Tr,L,6.5,,<6.36,,<-4.93
ESO324-024,15.30,8.0,,,8.35,9.06,8.18,-1.82,-1.80
PGC2229803,18.60,9.0,BCD,N,7.42,,,-3.27,-2.97
CVnI,>23.00,-3.0,Sph,X,6.1,5.88,<3.08,<-7.62,<-7.67
dw1328-29,>23.00,-1.0,Tr,L,6.75,,<6.75,,<-4.85
LVJ1328+4937,18.00,10.0,Ir,N,7.12,,,-3.02,-2.62
dw1329-45,>23.00,-1.0,Sph,L,6.52,,<6.45,,<-5.26
PGC170257,17.60,9.0,BCD,H,7.67,8.14,6.91,,-2.51
NGC5204,13.00,8.0,,,8.84,9.48,8.59,-1.12,-0.98
KV19-442,>23.00,-1.0,dE,H,7.11,,,,<-5.01
NGC5194,11.30,5.0,,,10.97,10.97,9.32,0.46,0.29
CenA-MM-Dw2,>23.00,-2.0,dSph,X,6.17,,,,<-4.76
dw1329-32,20.60,9.0,BCD,,6.73,,<6.75,,-3.89
NGC5195,14.40,0.0,,,10.59,10.73,8.14,-0.54,-1.05
dw1330-34,>23.00,-2.0,Sph,L,6.79,,<6.75,,<-4.85
dw1330-33,>23.00,-2.0,Sph,L,6.2,,<6.75,,<-4.83
CenA-MM-Dw1,>23.00,-2.0,dSph,X,7.79,,<7.66,,<-4.82
CenA-MM-Dw3,>23.00,-2.0,Sph,XL,7.73,,<6.55,,<-4.86
dw1330-38,>23.00,-1.0,Sph,X,6.16,,<6.64,,<-5.19
UGC08508,,10.0,Ir,N,7.54,7.92,7.29,-2.66,
dw1330-32,>23.00,10.0,Ir,L,6.04,,<6.75,,<-4.87
dw1331-40,>23.00,-1.0,Sph,X,5.79,,<6.64,,<-5.08
AGC238890,,9.0,BCD,N,7.09,6.11,6.37,-4.15,
UGCA361,21.80,-1.0,Tr,L,8.13,,,<-4.43,-4.08
CenA-MM-Dw9,>23.00,-2.0,Sph,XL,6.92,,<6.53,,<-4.90
CenA-MM-Dw8,>23.00,-2.0,Sph,XL,7.03,,<6.45,,<-5.07
NGC5206,,-3.0,,,8.95,,<6.54,<-4.40,
NGC5229,15.90,7.0,,,8.56,9.46,8.57,-1.49,-1.36
NGC5238,15.30,10.0,Ir,N,8.02,8.28,7.42,-1.96,-1.99
ESO270-017,,8.0,,,9.75,10.19,9.17,-0.81,
dw1335-29,>23.00,-2.0,Sph,L,6.79,,<6.77,,<-4.87
UGCA365,18.00,10.0,Ir,L,7.73,7.4,7.29,-4.42,-2.77
dw1336-32,>23.00,-2.0,Sph,L,7.19,,<6.75,,<-4.85
KK208,23.70,-3.0,Sph,X,8.21,,<6.69,<-5.18,-5.16
dw1336-44,>23.00,10.0,Ir,L,5.85,,<6.62,,<-5.02
MCG+08-25-028,17.90,10.0,Ir,N,7.78,,,-2.45,-2.46
NGC5236,10.70,5.0,,,10.86,11.32,9.99,0.44,0.20
HIDEEPJ1337-33,19.50,10.0,Ir,N,6.73,6.23,6.71,<-4.81,-3.52
dw1337-33,>23.00,10.0,Ir,L,6.52,,<6.75,,<-4.88
dw1337-26,>23.00,-2.0,Sph,L,7.08,,<6.75,,<-4.84
ESO444-084,16.60,10.0,Ir,N,7.61,8.4,7.90,-2.53,-2.28
HIPASSJ1337-39,17.80,10.0,Ir,N,7.21,7.67,7.60,<-4.69,-2.69
NGC5237,16.40,9.0,BCD,H,8.43,8.88,7.48,-2.26,-2.38
dw1337-41,>23.00,-1.0,Sph,X,6.49,,<6.64,,<-5.08
dw1338+50,>23.00,-1.0,Sph,L,7.08,,,,<-4.53
UGC08638,15.90,10.0,Ir,N,7.97,7.5,7.08,-2.42,-2.26
UGC08647,17.80,8.0,Sm,,7.74,8.11,7.89,-2.44,-2.43
DDO181,15.60,10.0,Ir,N,7.56,7.82,7.36,-2.61,-2.47
NGC5253,12.80,8.0,,,9.08,8.89,7.91,-0.64,-1.09
IC4316,16.60,10.0,Ir,N,8.21,6.42,7.04,-2.63,-2.38
dw1340-30,>23.00,-2.0,Sph,L,6.59,,<6.78,,<-4.82
dw1340+45,19.10,10.0,Ir,L,6.74,,,,-2.93
dw1341-33,>23.00,-2.0,Sph,L,7.06,,<6.75,,<-4.88
NGC5264,15.30,8.0,,,8.88,8.12,7.70,-1.92,-1.83
dw1341-43,>23.00,-1.0,Sph,L,7.17,,<6.63,,<-5.09
KK211,>23.00,-2.0,Sph,L,7.75,,<5.78,<-5.39,<-4.92
LVJ1342+4840,,9.0,Im,N,7.6,,,-3.37,
