Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
DDO167,16.40,10.0,Ir,N,15.5,7.19,6.06,7.20,-2.87,-2.49
UGC08313,16.30,8.0,Sm,,14.5,8.44,9.23,7.93,-1.54,-1.69
DDO168,14.70,10.0,Ir,N,13.0,8.13,8.54,8.33,-2.13,-1.77
DDO169NW,17.70,10.0,Ir,L,18.0,6.34,7.16,7.00,-3.58,-2.99
DDO169,15.80,10.0,Ir,N,14.5,7.73,8.22,7.75,-2.70,-2.22
KK193,24.30,10.0,Tr,L,18.1,7.03,,,,-4.90
NGC5055,12.50,4.0,,,9.3,11.0,11.34,9.62,0.21,0.11
CGCG189-050,,9.0,BCD,N,15.6,7.22,,,-2.60,
KK194,21.50,10.0,Ir,L,17.6,7.15,,,,-3.85
AGC239141,19.50,10.0,Ir,L,18.5,6.01,5.49,6.23,,-3.84
NGC5068,12.80,6.0,,,10.5,9.73,9.92,8.82,-0.32,-0.54
AGC732602,18.30,10.0,Ir,N,17.1,7.26,6.78,7.11,,-2.70
NGC5102,,1.0,,,10.3,9.7,10.14,8.47,-1.99,
PGC725719,20.10,7.0,Sdm,,16.3,7.33,,,,-3.79
KK200,18.60,10.0,Ir,L,15.8,7.31,6.19,6.86,-4.26,-3.09
NGC5128,12.90,-2.0,,,7.8,10.89,11.69,8.44,-0.06,-0.65
KV19-329,23.10,-1.0,dE,H,18.0,7.03,,,,-5.05
IC4247,16.50,10.0,Ir,N,14.4,8.25,7.55,7.59,-2.78,-2.18
ESO324-024,15.30,8.0,,,12.9,8.35,9.06,8.18,-1.82,-1.80
PGC2229803,18.60,9.0,BCD,N,16.2,7.42,,,-3.27,-2.97
LVJ1328+4937,18.00,10.0,Ir,N,17.3,7.12,,,-3.02,-2.62
PGC170257,17.60,9.0,BCD,H,15.3,7.67,8.14,6.91,,-2.51
NGC5204,13.00,8.0,,,11.7,8.84,9.48,8.59,-1.12,-0.98
NGC5194,11.30,5.0,,,8.6,10.97,10.97,9.32,0.46,0.29
NGC5195,14.40,0.0,,,10.5,10.59,10.73,8.14,-0.54,-1.05
UGC08508,,10.0,Ir,N,14.1,7.54,7.92,7.29,-2.66,
AGC238890,,9.0,BCD,N,16.6,7.09,6.11,6.37,-4.15,
NGC5229,15.90,7.0,,,14.3,8.56,9.46,8.57,-1.49,-1.36
NGC5238,15.30,10.0,Ir,N,13.6,8.02,8.28,7.42,-1.96,-1.99
ESO270-017,,8.0,,,11.7,9.75,10.19,9.17,-0.81,
UGCA365,18.00,10.0,Ir,L,15.5,7.73,7.4,7.29,-4.42,-2.77
MCG+08-25-028,17.90,10.0,Ir,N,15.9,7.78,,,-2.45,-2.46
NGC5236,10.70,5.0,,,8.2,10.86,11.32,9.99,0.44,0.20
ESO444-084,16.60,10.0,Ir,N,15.1,7.61,8.4,7.90,-2.53,-2.28
NGC5237,16.40,9.0,BCD,H,13.2,8.43,8.88,7.48,-2.26,-2.38
UGC08638,15.90,10.0,Ir,N,14.5,7.97,7.5,7.08,-2.42,-2.26
UGC08647,17.80,8.0,Sm,,16.3,7.74,8.11,7.89,-2.44,-2.43
DDO181,15.60,10.0,Ir,N,14.2,7.56,7.82,7.36,-2.61,-2.47
NGC5253,12.80,8.0,,,10.9,9.08,8.89,7.91,-0.64,-1.09
IC4316,16.60,10.0,Ir,N,14.0,8.21,6.42,7.04,-2.63,-2.38
dw1340+45,19.10,10.0,Ir,L,18.5,6.74,,,,-2.93
NGC5264,15.30,8.0,,,12.6,8.88,8.12,7.70,-1.92,-1.83
LVJ1342+4840,,9.0,Im,N,16.3,7.6,,,-3.37,
DDO182,16.10,10.0,Ir,N,15.7,7.89,8.16,8.03,-2.11,-1.72
dw1343+58,17.60,9.0,BCD,N,15.7,7.46,7.82,6.66,-3.36,-2.75
ESO325-011,,10.0,Ir,L,14.0,7.86,8.4,7.87,-1.88,
ESO383-087,13.70,8.0,,,11.0,9.05,8.32,7.82,-1.49,-1.45
DDO183,16.00,10.0,Ir,N,14.5,7.54,7.18,7.33,-3.12,-2.52
KDG229,23.60,-1.0,Tr,L,16.5,8.72,,,,-4.28
KKH86,19.70,10.0,Ir,L,16.9,6.51,5.9,5.92,-6.04,-4.17
HolmIV,,8.0,,,13.8,8.62,9.08,8.36,-1.68,
UGC08833,16.70,10.0,Ir,N,15.3,7.41,7.38,7.05,-3.34,-2.85
UGC08882,21.60,-1.0,dE,N,15.4,7.51,,,-4.37,-4.15
MESSIER101,10.00,6.0,,,8.3,10.79,11.32,9.86,0.46,0.52
NGC5408,,9.0,Im,N,12.2,8.57,8.68,8.48,-0.83,
M101-df1,24.20,10.0,Ir,L,19.3,6.17,,,,-5.27
M101-df5,23.80,-1.0,Tr,X,18.4,8.48,,,,-3.83
PGC2448110,18.30,10.0,Ir,H,17.3,7.02,,,-1.92,-2.82
NGC5474,13.00,8.0,,,11.5,9.21,9.11,9.01,-0.89,-0.69
NGC5477,15.00,9.0,Im,N,14.2,8.26,8.66,8.60,-1.62,-1.51
KK230,18.20,10.0,Ir,L,17.5,6.18,5.98,6.35,-5.47,-3.78
CIRCINUS,,3.0,,,12.1,10.6,10.54,9.30,0.04,
KKH87,17.40,10.0,Ir,N,16.1,7.73,7.8,7.97,-2.54,-2.24
DDO187,16.40,10.0,Ir,N,14.4,7.06,7.35,7.10,-3.97,-2.98
NGC5585,13.20,7.0,,,11.2,9.21,9.96,9.00,-0.90,-0.62
DDO190,14.90,9.0,Im,N,13.1,7.93,8.48,7.52,-2.63,-2.24
PGC051659,,10.0,Ir,L,15.2,7.51,7.94,7.78,-3.59,
ESO222-010,,10.0,Ir,N,16.3,7.16,7.31,7.25,-2.90,
DDO194,16.80,8.0,,,14.5,8.09,8.8,7.83,-3.35,-2.37
MRK0475,17.50,9.0,BCD,H,16.4,7.64,7.44,6.48,-1.50,-2.24
ESO272-025,,10.0,Ir,N,14.8,7.61,7.86,6.74,-2.64,
KKR11,18.90,10.0,Ir,L,16.9,7.52,7.39,7.79,,-2.73
dw1446+58,20.10,10.0,Irr,N,18.7,6.49,,,,-3.53
UGC09540,17.20,10.0,Ir,L,16.8,7.52,8.08,7.99,-2.06,-2.10
ESO223-009,,10.0,Ir,N,13.8,9.17,9.42,8.79,-1.00,
UGC09660,16.00,9.0,BCD,N,14.4,8.68,8.58,8.23,-1.56,-1.48
ESO274-001,,7.0,,,11.7,8.92,9.91,8.32,-1.35,
KKR18,17.20,10.0,Ir,N,16.1,7.78,8.11,7.49,,-2.10
UGC09893,16.70,9.0,Im,N,15.1,8.25,8.16,7.93,-2.79,-1.86
UGC09992,16.60,10.0,Ir,N,15.4,8.26,8.54,8.40,-1.93,-1.64
PGC057323,17.40,8.0,Sm,,15.3,8.64,8.84,8.29,,-1.46
ESO137-018,,6.0,,,12.2,9.54,9.51,8.59,-1.31,
KDG235,18.60,10.0,Ir,L,16.8,7.64,7.85,7.87,-2.74,-2.48
MilkyWay,,4.0,,,-4.6,10.78,,,,0.22
IC4662,13.00,9.0,BCD,N,11.7,8.72,8.64,8.24,-1.12,-1.37
NGC6503,13.50,6.0,,,10.9,10.0,10.09,8.86,-0.37,-0.56
IC4710,14.20,8.0,,,12.5,9.24,8.93,8.60,-0.87,-0.86
ESO104-022,17.60,10.0,Ir,L,15.6,8.05,8.15,8.53,-1.77,-2.06
[KK2000]70,23.50,10.0,Ir,L,16.9,7.3,,,,-4.75
UGC11411,16.60,9.0,BCD,N,15.6,7.85,,,-1.72,-1.84
[KK2000]71,16.00,10.0,Ir,N,14.9,7.83,,,,-2.02
NGC6744,11.50,4.0,,,9.1,10.91,11.41,10.31,0.35,0.54
ESO104-044,17.60,10.0,Ir,L,15.0,8.31,8.88,8.47,-2.61,-2.15
[KK2000]72,19.60,10.0,Ir,L,17.9,7.12,,,,-2.97
AM1909-615,21.50,8.0,(Sm),,16.1,7.94,8.94,8.26,,-3.70
SagdIr,15.90,10.0,Ir,L,14.1,6.55,7.0,6.97,-4.04,-3.11
IC4870,15.50,9.0,BCD,N,14.5,8.34,8.87,8.62,-1.32,-1.19
NGC6822,12.00,10.0,Ir,N,9.3,8.38,9.24,8.19,-1.90,-1.78
LVJ1952+1428,,9.0,BCD,N,16.9,7.78,7.51,7.19,-2.94,
KK246,20.00,10.0,Ir,N,17.1,7.71,8.11,7.96,,-2.54
IC4951,15.50,8.0,,,14.0,8.86,9.44,8.69,-1.45,-1.19
UGC11583,,10.0,Ir,L,15.9,8.15,9.06,8.44,-2.56,
KK251,,10.0,Ir,L,16.5,7.94,8.44,8.28,-2.48,
KK252,,10.0,Ir,L,16.7,8.13,8.85,7.28,-2.62,
NGC6946,13.20,6.0,,,9.6,10.99,11.01,10.11,0.63,0.51
KKR55,,10.0,Ir,N,17.0,8.4,7.91,7.87,-1.93,
DDO210,17.00,10.0,Ir,L,14.0,6.78,5.79,6.46,-5.34,-3.86
KKR56,,10.0,Ir,L,17.6,8.24,,,-2.57,
Cepheus1,,8.0,,,15.4,9.61,9.57,9.27,-1.54,
IC5052,14.40,7.0,,,11.7,9.27,9.93,8.81,-1.12,-0.83
KKR59,,8.0,,,15.7,9.39,9.19,,-1.17,
KKR60,,10.0,Ir,L,18.0,8.66,,,-1.34,
NGC7090,14.30,6.0,,,11.3,10.03,10.41,9.26,-0.31,-0.37
IC5152,12.50,9.0,BCD,N,11.0,8.71,8.94,8.01,-2.23,-1.55
6dFJ2218489-461303,17.40,9.0,Im,N,16.1,7.87,7.18,7.18,,-2.10
IC5201,13.30,6.0,,,11.3,10.19,10.4,9.68,-0.51,-0.19
Dw2221-4608,22.50,10.0,Irr,L,20.1,6.26,,,,-4.15
ESO289-020,17.60,8.0,Sd,,15.8,8.09,8.76,7.80,,-2.18
ESO238-005,16.60,10.0,Ir,L,14.7,8.21,9.19,8.35,-2.27,-1.97
AM2220-460,17.40,10.0,Ir,L,16.4,7.62,8.74,7.54,,-2.24
Dw2227-4623,20.40,10.0,Tr,N,16.8,7.58,,,,-3.32
Aquarius2,21.80,-2.0,Sph,X,16.7,4.43,5.48,,,-7.68
DDO215,17.00,9.0,Im,N,15.0,8.21,8.45,8.18,,-2.01
PiscesII,22.70,-3.0,Sph,X,17.2,4.7,5.0,,-7.50,-7.56
AF7448_001,19.40,10.0,Ir,N,17.2,7.35,5.83,6.95,-2.75,-2.84
NGC7462,14.30,6.0,,,12.5,9.48,10.06,8.81,,-0.40
NGC7640,,5.0,,,11.6,9.77,10.55,9.56,-0.45,
UGC12588,,8.0,,,14.1,8.83,9.44,8.22,-1.28,
UGCA438,15.40,10.0,Ir,N,13.9,7.59,7.75,7.25,-3.84,-2.65
ESO347-017,15.70,9.0,Im,N,14.7,8.25,8.68,8.23,-1.68,-1.61
Pegasus,16.30,10.0,Ir,L,13.2,7.35,6.13,6.74,-4.37,-3.54
DDO217,15.80,8.0,,,12.8,9.42,9.87,8.95,-1.13,-1.05
IC5332,12.60,7.0,,,11.0,9.74,10.3,9.31,-0.39,-0.26
NGC7713,,6.0,,,11.5,9.43,10.11,8.74,-0.64,
UGC12713,17.00,7.0,,,14.8,8.9,9.21,8.42,-1.61,-1.57
PGC680341,18.20,10.0,Ir,N,16.7,7.15,7.61,6.86,,-2.89
UGCA442,15.00,8.0,,,13.6,8.03,9.17,8.22,-2.18,-1.84
KKH98,18.20,10.0,Ir,L,16.7,6.63,5.87,6.49,-3.57,-3.27
ESO348-009,16.40,10.0,Ir,L,14.8,8.47,9.07,8.64,-2.06,-1.60
ESO149-003,15.80,10.0,Ir,N,15.1,7.95,8.11,7.90,-2.23,-1.79
NGC7793,11.30,6.0,,,9.7,9.7,10.25,8.70,-0.45,-0.42
