Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
UGC02716,17.10,8.0,,,14.6,8.38,8.23,7.71,-2.23,-1.95
N1291-DW14,20.60,10.0,Ir,L,19.0,6.6,,,,-3.51
UGC02773,,9.0,Im,N,15.0,9.24,9.08,8.51,-0.57,
IC1959,14.50,8.0,,,13.2,8.49,9.42,8.38,-1.38,-1.18
NGC1400,17.50,-3.0,,,11.9,10.99,,,-0.66,-1.21
KK35,19.10,10.0,Ir,N,15.7,8.2,,,-1.39,-1.69
UGC02905,18.70,10.0,Ir,N,15.8,8.02,7.93,7.56,-2.59,-2.13
UGCA086,,8.0,,,13.5,9.13,,,-1.14,
IC2038,17.20,7.0,,,15.0,9.08,9.33,9.20,,-1.46
NGC1533,17.00,0.0,,,11.8,10.85,10.89,9.76,-0.28,-1.26
ESO483-013,16.20,9.0,BCD,N,14.1,8.72,8.68,7.63,-1.82,-1.80
CamA,20.10,10.0,Ir,L,14.8,7.79,8.14,8.14,-2.91,-3.43
NGC1592,14.50,10.0,Ir,N,14.4,8.17,8.68,7.99,-1.28,-0.98
NGC1569,15.60,8.0,,,11.8,9.4,9.25,8.30,-0.08,-0.55
UGCA092,,10.0,Ir,L,15.2,8.04,8.44,8.23,-1.57,
NGC1560,14.70,7.0,,,12.1,8.6,9.47,8.91,-1.43,-1.34
NGC1637,,6.0,,,11.5,10.07,10.4,9.01,-0.48,
CamB,,10.0,Ir,L,16.7,7.09,6.16,7.12,-3.29,
NGC1705,13.40,9.0,BCD,N,12.8,8.62,9.26,8.06,-0.98,-0.98
HIPASSJ0457-42,,10.0,Ir,N,14.5,8.18,8.29,8.10,-2.25,
NGC1744,13.30,7.0,,,11.7,9.42,10.38,9.35,-0.59,-0.20
ESO486-021,15.60,9.0,BCD,N,14.4,8.74,8.9,8.47,-1.48,-1.33
NGC1800,14.70,9.0,BCD,N,13.1,9.04,8.7,8.13,-1.25,-1.26
UGCA105,15.10,8.0,,,12.1,9.14,9.58,8.65,-1.23,-1.07
HIPASSJ0517-32,17.30,9.0,Im,H,15.7,7.93,8.33,7.89,,-2.14
LMC,,9.0,Im,N,0.9,9.42,9.44,8.66,-0.52,
UGC03303,,8.0,,,14.0,8.75,10.26,8.52,-1.11,
ESO553-046,15.50,9.0,BCD,N,14.6,8.17,8.49,7.46,-1.25,-1.61
KK49,,9.0,BCD,N,16.1,9.24,8.77,8.31,-0.61,
Orion,,8.0,,,15.4,8.73,9.66,8.98,-1.04,
GALFADw4,,10.0,Ir,N,17.8,7.76,7.78,6.81,-2.06,
A0554+07,,10.0,Ir,N,18.4,7.89,8.24,7.80,-2.41,
